"# value_kind: measured=solo_prefill_ms,solo_decode_ms,prefill_stream_ms,decode_stream_ms,concurrent_ms; derived=overlap_ratio,speedup_vs_seq,decode_inflation_pct,combined_tok_per_ms; metadata=model,device,config_status,prefill_layer,decode_layer,decode_batch,context_len,prefill_tokens,chunk,prefill_mode,prefill_batch,n_chunks,backend,prefill_sm_frac,prefill_sm,decode_sm,status"
model__metadata,device__metadata,config_status__metadata,prefill_layer__metadata,decode_layer__metadata,decode_batch__metadata,context_len__metadata,prefill_tokens__metadata,chunk__metadata,prefill_mode__metadata,prefill_batch__metadata,n_chunks__metadata,backend__metadata,prefill_sm_frac__metadata,prefill_sm__metadata,decode_sm__metadata,status__metadata,solo_prefill_ms__measured,solo_decode_ms__measured,prefill_stream_ms__measured,decode_stream_ms__measured,concurrent_ms__measured,overlap_ratio__derived,speedup_vs_seq__derived,decode_inflation_pct__derived,combined_tok_per_ms__derived
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,1,4096,256,256,full,8,1,sequential,,108,108,ok,0.9011,0.0819,0.9011,0.0819,0.983,1.0,1.0,0.0,261.4339
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,1,4096,256,256,full,8,1,two_stream,,108,108,ok,0.9011,0.0819,0.8965,0.2488,0.8965,0.912,1.0965,203.75,286.6665
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,1,4096,256,256,full,8,1,green_ctx,0.5,54,54,ok,0.9011,0.0819,1.4735,0.1249,1.4735,1.499,0.6671,52.5,174.4104
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,1,4096,256,256,full,8,1,green_ctx,0.7,76,32,ok,0.9011,0.0819,1.2078,0.1623,1.2078,1.2286,0.8139,98.125,212.7822
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,1,4096,256,256,full,8,1,green_ctx_protect,0.5,54,54,ok,0.9011,0.0819,1.4725,0.1249,1.4725,1.4979,0.6676,52.5,174.5317
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,2,4096,256,256,full,8,1,sequential,,108,108,ok,0.8863,0.1306,0.8863,0.1306,1.0168,1.0,1.0,0.0,253.7292
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,2,4096,256,256,full,8,1,two_stream,,108,108,ok,0.8863,0.1306,0.9047,0.3139,0.9047,0.8897,1.1239,140.3922,285.1761
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,2,4096,256,256,full,8,1,green_ctx,0.5,54,54,ok,0.8863,0.1306,1.4735,0.1925,1.4735,1.4491,0.6901,47.451,175.089
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,2,4096,256,256,full,8,1,green_ctx,0.7,76,32,ok,0.8863,0.1306,1.2093,0.2627,1.2093,1.1893,0.8408,101.1765,213.3388
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,2,4096,256,256,full,8,1,green_ctx_protect,0.5,54,54,ok,0.8863,0.1306,1.4735,0.193,1.4735,1.4491,0.6901,47.8431,175.089
