"# value_kind: measured=solo_prefill_ms,solo_decode_ms,prefill_stream_ms,decode_stream_ms,concurrent_ms; derived=overlap_ratio,speedup_vs_seq,decode_inflation_pct,combined_tok_per_ms; metadata=model,device,config_status,prefill_layer,decode_layer,decode_batch,context_len,prefill_tokens,chunk,prefill_mode,prefill_batch,n_chunks,backend,prefill_sm_frac,prefill_sm,decode_sm,status"
model__metadata,device__metadata,config_status__metadata,prefill_layer__metadata,decode_layer__metadata,decode_batch__metadata,context_len__metadata,prefill_tokens__metadata,chunk__metadata,prefill_mode__metadata,prefill_batch__metadata,n_chunks__metadata,backend__metadata,prefill_sm_frac__metadata,prefill_sm__metadata,decode_sm__metadata,status__metadata,solo_prefill_ms__measured,solo_decode_ms__measured,prefill_stream_ms__measured,decode_stream_ms__measured,concurrent_ms__measured,overlap_ratio__derived,speedup_vs_seq__derived,decode_inflation_pct__derived,combined_tok_per_ms__derived
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,ssm,1,4096,256,256,full,8,1,two_stream,,108.0,108.0,ok,0.894,0.5217,0.8878,0.5171,0.8878,0.6271,1.5946,-0.8832,289.477
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,ssm,2,4096,256,256,full,8,1,two_stream,,108.0,108.0,ok,0.8868,0.5243,0.8934,0.5197,0.8934,0.6332,1.5794,-0.8789,288.7715
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,ssm,4,4096,256,256,full,8,1,two_stream,,108.0,108.0,ok,0.8832,0.5125,0.8873,0.514,0.8873,0.6357,1.573,0.2997,293.0251
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,ssm,8,4096,256,256,full,8,1,two_stream,,108.0,108.0,ok,0.8847,0.5176,0.8888,0.5212,0.8888,0.6338,1.5778,0.6924,297.019
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,ssm,16,4096,256,256,full,8,1,two_stream,,108.0,108.0,ok,0.8847,0.5658,0.8873,0.5693,0.8873,0.6117,1.6347,0.6335,306.5493
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,ssm,32,4096,256,256,full,8,1,two_stream,,108.0,108.0,ok,0.8765,0.639,0.8914,0.6508,0.8914,0.5882,1.7002,1.8429,323.0902
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,ssm,64,4096,256,256,full,8,1,two_stream,,108.0,108.0,ok,0.8873,0.8115,0.8914,0.8197,0.8914,0.5247,1.9058,1.0095,358.9891
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,ssm,128,4096,256,256,full,8,1,two_stream,,108.0,108.0,ok,0.8812,1.3338,0.8965,1.3757,1.3757,0.6211,1.61,3.1478,279.1217
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,ssm,256,4096,256,256,full,8,1,two_stream,,108.0,108.0,ok,0.8858,2.4847,0.9068,2.5277,2.5277,0.75,1.3334,1.7309,202.5522
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,ssm,512,4096,256,256,full,8,1,two_stream,,108.0,108.0,ok,0.8852,4.7964,0.9267,4.8538,4.8538,0.8543,1.1706,1.1956,158.2279
zamba2_2.7b,a100_sxm4_80gb,verified,attn,attn,1,4096,256,256,full,8,1,two_stream,,108.0,108.0,ok,0.9533,0.0819,1.0015,0.6241,1.0015,0.9674,1.0337,661.875,256.6223
zamba2_2.7b,a100_sxm4_80gb,verified,attn,attn,2,4096,256,256,full,8,1,two_stream,,108.0,108.0,ok,0.9528,0.13,1.0388,0.6636,1.0388,0.9593,1.0424,410.2362,248.352
zamba2_2.7b,a100_sxm4_80gb,verified,attn,attn,4,4096,256,256,full,8,1,two_stream,,108.0,108.0,ok,0.9544,0.2319,1.1315,0.7547,1.1315,0.9538,1.0484,225.3863,229.7794
zamba2_2.7b,a100_sxm4_80gb,verified,attn,attn,8,4096,256,256,full,8,1,two_stream,,108.0,108.0,ok,0.9513,0.5908,1.3363,1.1658,1.3363,0.8665,1.154,97.3137,197.5575
zamba2_2.7b,a100_sxm4_80gb,verified,attn,attn,16,4096,256,256,full,8,1,two_stream,,108.0,108.0,ok,0.9523,1.0363,1.9645,1.6456,1.9645,0.9879,1.0122,58.7945,138.4545
zamba2_2.7b,a100_sxm4_80gb,verified,attn,attn,32,4096,256,256,full,8,1,two_stream,,108.0,108.0,ok,0.9636,1.9983,2.9271,2.5728,2.9271,0.9882,1.0119,28.7471,98.3908
zamba2_2.7b,a100_sxm4_80gb,verified,attn,attn,64,4096,256,256,full,8,1,two_stream,,108.0,108.0,ok,0.9523,4.1564,5.1702,4.8246,5.1702,1.012,0.9881,16.0754,61.8934
zamba2_2.7b,a100_sxm4_80gb,verified,attn,attn,128,4096,256,256,full,8,1,two_stream,,108.0,108.0,ok,0.9554,7.8387,8.7782,8.4204,8.7782,0.9982,1.0018,7.42,43.7445
zamba2_2.7b,a100_sxm4_80gb,verified,attn,attn,256,4096,256,256,full,8,1,two_stream,,108.0,108.0,ok,0.9528,15.7215,16.5955,16.2509,16.5955,0.9953,1.0048,3.3674,30.8518
zamba2_2.7b,a100_sxm4_80gb,verified,attn,attn,512,4096,256,256,full,8,1,two_stream,,108.0,108.0,ok,0.9513,31.2581,32.1044,31.7891,32.1044,0.9967,1.0033,1.6986,23.9219
zamba2_2.7b,a100_sxm4_80gb,verified,attn,attn,1,4096,256,256,full,8,1,green_ctx_protect,0.5,54.0,54.0,ok,0.9533,0.0819,1.7224,0.1219,1.7224,1.6637,0.6011,48.75,149.2132
zamba2_2.7b,a100_sxm4_80gb,verified,attn,attn,2,4096,256,256,full,8,1,green_ctx_protect,0.5,54.0,54.0,ok,0.9528,0.13,1.7224,0.1889,1.7224,1.5905,0.6287,45.2756,149.7938
zamba2_2.7b,a100_sxm4_80gb,verified,attn,attn,4,4096,256,256,full,8,1,green_ctx_protect,0.5,54.0,54.0,ok,0.9544,0.2319,1.7193,0.3348,1.7193,1.4493,0.69,44.3709,151.2247
zamba2_2.7b,a100_sxm4_80gb,verified,attn,attn,8,4096,256,256,full,8,1,green_ctx_protect,0.5,54.0,54.0,ok,0.9513,0.5908,1.7526,0.9544,1.7526,1.1365,0.8799,61.5251,150.6354
zamba2_2.7b,a100_sxm4_80gb,verified,attn,attn,16,4096,256,256,full,8,1,green_ctx_protect,0.5,54.0,54.0,ok,0.9523,1.0363,1.7833,1.8156,1.8156,0.913,1.0953,75.1976,149.8167
zamba2_2.7b,a100_sxm4_80gb,verified,attn,attn,32,4096,256,256,full,8,1,green_ctx_protect,0.5,54.0,54.0,ok,0.9636,1.9983,1.7684,3.3715,3.3715,1.1383,0.8785,68.7164,85.4214
zamba2_2.7b,a100_sxm4_80gb,verified,attn,attn,64,4096,256,256,full,8,1,green_ctx_protect,0.5,54.0,54.0,ok,0.9523,4.1564,1.7541,6.6048,6.6048,1.2928,0.7735,58.9061,48.4496
zamba2_2.7b,a100_sxm4_80gb,verified,attn,attn,128,4096,256,256,full,8,1,green_ctx_protect,0.5,54.0,54.0,ok,0.9554,7.8387,1.7398,12.9162,12.9162,1.4687,0.6809,64.7747,29.7301
zamba2_2.7b,a100_sxm4_80gb,verified,attn,attn,256,4096,256,256,full,8,1,green_ctx_protect,0.5,54.0,54.0,ok,0.9528,15.7215,1.7413,25.5242,25.5242,1.5308,0.6533,62.3526,20.0594
zamba2_2.7b,a100_sxm4_80gb,verified,attn,attn,512,4096,256,256,full,8,1,green_ctx_protect,0.5,54.0,54.0,ok,0.9513,31.2581,1.7469,50.6312,50.6312,1.5719,0.6362,61.9777,15.1685
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,ssm,1,4096,256,256,full,8,1,green_ctx_protect,0.7,76.0,32.0,ok,0.894,0.5217,1.2073,0.5176,1.2073,0.8528,1.1726,-0.7851,212.8724
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,ssm,2,4096,256,256,full,8,1,green_ctx_protect,0.7,76.0,32.0,ok,0.8868,0.5243,1.2073,0.5268,1.2073,0.8556,1.1688,0.4883,213.7007
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,ssm,4,4096,256,256,full,8,1,green_ctx_protect,0.7,76.0,32.0,ok,0.8832,0.5125,1.2083,0.5632,1.2083,0.8657,1.1551,9.8901,215.1748
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,ssm,8,4096,256,256,full,8,1,green_ctx_protect,0.5,54.0,54.0,ok,0.8847,0.5176,1.4817,0.5801,1.4817,1.0566,0.9464,12.0673,178.1704
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,ssm,16,4096,256,256,full,8,1,green_ctx_protect,0.5,54.0,54.0,ok,0.8847,0.5658,1.4889,0.6636,1.4889,1.0265,0.9742,17.2851,182.6857
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,ssm,32,4096,256,256,full,8,1,green_ctx_protect,0.5,54.0,54.0,ok,0.8765,0.639,1.5114,0.83,1.5114,0.9973,1.0027,29.8878,190.5488
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,ssm,64,4096,256,256,full,8,1,green_ctx_protect,0.5,54.0,54.0,ok,0.8873,0.8115,1.5432,1.1996,1.5432,0.9084,1.1009,47.8233,207.3656
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,ssm,128,4096,256,256,full,8,1,green_ctx_protect,0.5,54.0,54.0,ok,0.8812,1.3338,1.6133,2.1852,2.1852,0.9866,1.0136,63.8388,175.7263
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,ssm,256,4096,256,256,full,8,1,green_ctx_protect,0.5,54.0,54.0,ok,0.8858,2.4847,1.5662,4.1068,4.1068,1.2184,0.8207,65.2792,124.6727
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,ssm,512,4096,256,256,full,8,1,green_ctx_protect,0.5,54.0,54.0,ok,0.8852,4.7964,1.5135,7.9954,7.9954,1.4072,0.7106,66.6951,96.0553
