"# value_kind: measured=solo_prefill_ms,solo_decode_ms,prefill_stream_ms,decode_stream_ms,concurrent_ms; derived=overlap_ratio,speedup_vs_seq,decode_inflation_pct,combined_tok_per_ms; metadata=model,device,config_status,prefill_layer,decode_layer,decode_batch,context_len,prefill_tokens,chunk,prefill_mode,prefill_batch,n_chunks,backend,prefill_sm_frac,prefill_sm,decode_sm,status"
model__metadata,device__metadata,config_status__metadata,prefill_layer__metadata,decode_layer__metadata,decode_batch__metadata,context_len__metadata,prefill_tokens__metadata,chunk__metadata,prefill_mode__metadata,prefill_batch__metadata,n_chunks__metadata,backend__metadata,prefill_sm_frac__metadata,prefill_sm__metadata,decode_sm__metadata,status__metadata,solo_prefill_ms__measured,solo_decode_ms__measured,prefill_stream_ms__measured,decode_stream_ms__measured,concurrent_ms__measured,overlap_ratio__derived,speedup_vs_seq__derived,decode_inflation_pct__derived,combined_tok_per_ms__derived
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,1,4096,256,256,full,8,1,sequential,,108,108,ok,1.5145,0.1085,1.5145,0.1085,1.623,1.0,1.0,0.0,158.3448
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,1,4096,256,256,full,8,1,two_stream,,108,108,ok,1.5145,0.1085,1.5309,0.2596,1.5309,0.9432,1.0602,139.151,167.8773
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,1,4096,256,256,full,8,1,green_ctx,0.5,54,54,ok,1.5145,0.1085,2.7612,0.1833,2.7612,1.7013,0.5878,68.8679,93.0749
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,1,4096,256,256,full,8,1,green_ctx,0.7,76,32,ok,1.5145,0.1085,1.9446,0.2499,1.9446,1.1981,0.8346,130.1887,132.1625
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,1,4096,256,256,full,8,1,green_ctx_protect,0.37,40,68,ok,1.5145,0.1085,3.6301,0.1546,3.6301,2.2366,0.4471,42.4528,70.7973
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,2,4096,256,256,full,8,1,sequential,,108,108,ok,1.5176,0.1731,1.5176,0.1731,1.6906,1.0,1.0,0.0,152.6064
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,2,4096,256,256,full,8,1,two_stream,,108,108,ok,1.5176,0.1731,1.6189,0.513,1.6189,0.9576,1.0443,196.4497,159.3631
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,2,4096,256,256,full,8,1,green_ctx,0.5,54,54,ok,1.5176,0.1731,2.8078,0.3041,2.8078,1.6608,0.6021,75.7396,91.8866
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,2,4096,256,256,full,8,1,green_ctx,0.7,76,32,ok,1.5176,0.1731,1.9446,0.427,1.9446,1.1502,0.8694,146.7456,132.6767
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,2,4096,256,256,full,8,1,green_ctx_protect,0.37,40,68,ok,1.5176,0.1731,3.6301,0.2442,3.6301,2.1472,0.4657,41.1243,71.0728
