"# value_kind: measured=solo_prefill_ms,solo_decode_ms,prefill_stream_ms,decode_stream_ms,concurrent_ms; derived=overlap_ratio,speedup_vs_seq,decode_inflation_pct,combined_tok_per_ms; metadata=model,device,config_status,prefill_layer,decode_layer,decode_batch,context_len,prefill_tokens,chunk,prefill_mode,prefill_batch,n_chunks,backend,prefill_sm_frac,prefill_sm,decode_sm,status"
model__metadata,device__metadata,config_status__metadata,prefill_layer__metadata,decode_layer__metadata,decode_batch__metadata,context_len__metadata,prefill_tokens__metadata,chunk__metadata,prefill_mode__metadata,prefill_batch__metadata,n_chunks__metadata,backend__metadata,prefill_sm_frac__metadata,prefill_sm__metadata,decode_sm__metadata,status__metadata,solo_prefill_ms__measured,solo_decode_ms__measured,prefill_stream_ms__measured,decode_stream_ms__measured,concurrent_ms__measured,overlap_ratio__derived,speedup_vs_seq__derived,decode_inflation_pct__derived,combined_tok_per_ms__derived
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,1,4096,4096,256,full,1,16,two_stream,,108.0,108.0,ok,8.9354,0.5253,8.7823,0.5181,8.7823,0.9283,1.0772,-1.3645,466.5046
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,2,4096,4096,256,full,1,16,two_stream,,108.0,108.0,ok,8.8187,0.5228,8.8658,0.5233,8.8658,0.9491,1.0536,0.0979,462.2261
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,4,4096,4096,256,full,1,16,two_stream,,108.0,108.0,ok,8.7864,0.5151,8.7296,0.5294,8.7296,0.9385,1.0655,2.7833,469.6664
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,8,4096,4096,256,full,1,16,two_stream,,108.0,108.0,ok,8.8172,0.5658,8.7455,0.5745,8.7455,0.9321,1.0729,1.5385,469.2714
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,16,4096,4096,256,full,1,16,two_stream,,108.0,108.0,ok,8.8197,0.6589,8.8218,0.6636,8.8218,0.9307,1.0745,0.6993,466.1201
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,32,4096,4096,256,full,1,16,two_stream,,108.0,108.0,ok,8.8392,0.8223,8.7875,0.8253,8.7875,0.9095,1.0995,0.3736,469.7605
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,64,4096,4096,256,full,1,16,two_stream,,108.0,108.0,ok,8.7997,1.1668,8.8202,1.1725,8.8202,0.885,1.13,0.4827,471.6434
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,128,4096,4096,256,full,1,16,two_stream,,108.0,108.0,ok,8.8586,2.1361,8.834,2.1396,8.834,0.8035,1.2446,0.1678,478.15
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,256,4096,4096,256,full,1,16,two_stream,,108.0,108.0,ok,8.8074,4.0714,8.8259,4.0689,8.8259,0.6853,1.4592,-0.0629,493.0966
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,512,4096,4096,256,full,1,16,two_stream,,108.0,108.0,ok,8.874,7.9053,8.8765,7.9053,8.8765,0.529,1.8903,-0.0,519.121
zamba2_7b,a100_sxm4_80gb,verified,attn,attn,1,4096,4096,256,full,1,16,two_stream,,108.0,108.0,ok,5.2244,0.1137,5.3514,0.215,5.3514,1.0025,0.9975,89.1892,765.5906
zamba2_7b,a100_sxm4_80gb,verified,attn,attn,2,4096,4096,256,full,1,16,two_stream,,108.0,108.0,ok,5.2321,0.1782,5.4216,0.2749,5.4216,1.0021,0.9979,54.3103,755.8699
zamba2_7b,a100_sxm4_80gb,verified,attn,attn,4,4096,4096,256,full,1,16,two_stream,,108.0,108.0,ok,5.2296,0.3292,5.566,0.4178,5.566,1.0013,0.9987,26.9051,736.6215
zamba2_7b,a100_sxm4_80gb,verified,attn,attn,8,4096,4096,256,full,1,16,two_stream,,108.0,108.0,ok,5.2296,0.9585,6.0365,0.9805,6.0365,0.9755,1.0251,2.297,679.8664
zamba2_7b,a100_sxm4_80gb,verified,attn,attn,16,4096,4096,256,full,1,16,two_stream,,108.0,108.0,ok,5.2695,1.6138,6.8838,1.6435,6.8838,1.0001,0.9999,1.8401,597.341
