model,policy,lambda_req_ms,slo_ms,n_req,tokens,ttft_p50,ttft_p99,itl_p50,itl_p99,throughput_tok_s,slo_attain,goodput_tok_s
zamba2_7b,co_schedule,0.02,100.0,400,59776,158618.286,315056.606,51.8125,66.4903,171.2,1.0,171.2
zamba2_7b,agnostic_protect,0.02,100.0,400,59776,182609.947,361305.078,65.8418,97.752,149.4,1.0,149.4
zamba2_7b,layer_aware_protect,0.02,100.0,400,59776,170122.651,338532.732,59.9258,86.5116,159.2,1.0,159.2
zamba2_7b,co_schedule,0.05,100.0,400,59776,164400.146,326650.522,51.8125,66.4903,171.2,1.0,171.2
zamba2_7b,agnostic_protect,0.05,100.0,400,59776,188391.808,372898.994,65.8418,97.752,149.4,1.0,149.4
zamba2_7b,layer_aware_protect,0.05,100.0,400,59776,175904.511,350126.648,59.9258,86.5116,159.2,1.0,159.2
zamba2_7b,co_schedule,0.1,100.0,400,59776,166327.433,330515.161,51.8125,66.4903,171.2,1.0,171.2
zamba2_7b,agnostic_protect,0.1,100.0,400,59776,190319.095,376763.633,65.8418,97.752,149.5,1.0,149.5
zamba2_7b,layer_aware_protect,0.1,100.0,400,59776,177831.798,353991.287,59.9258,86.5116,159.2,1.0,159.2
zamba2_7b,co_schedule,0.15,100.0,400,59776,166969.862,331803.374,51.8125,66.4903,171.2,1.0,171.2
zamba2_7b,agnostic_protect,0.15,100.0,400,59776,190961.524,378051.846,65.8418,97.752,149.5,1.0,149.5
zamba2_7b,layer_aware_protect,0.15,100.0,400,59776,178474.227,355279.5,59.9258,86.5116,159.2,1.0,159.2
zamba2_7b,co_schedule,0.2,100.0,400,59776,167291.077,332447.48,51.8125,66.4903,171.2,1.0,171.2
zamba2_7b,agnostic_protect,0.2,100.0,400,59776,191282.738,378695.952,65.8418,97.752,149.5,1.0,149.5
zamba2_7b,layer_aware_protect,0.2,100.0,400,59776,178795.442,355923.606,59.9258,86.5116,159.2,1.0,159.2
zamba2_7b,co_schedule,0.3,100.0,400,59776,167612.291,333091.587,51.8125,66.4903,171.2,1.0,171.2
zamba2_7b,agnostic_protect,0.3,100.0,400,59776,191603.953,379340.059,65.8418,97.752,149.5,1.0,149.5
zamba2_7b,layer_aware_protect,0.3,100.0,400,59776,179116.656,356567.713,59.9258,86.5116,159.2,1.0,159.2
