model,policy,scheduler,lambda_req_ms,pf_layer,dec_layer,ctx,slo_ms,prefill_budget,n_req,tokens,ttft_p50,ttft_p99,itl_p50,itl_p99,throughput_tok_s,slo_attain,goodput_tok_s,notes
falcon_h1_3b_a100_sxm4_80gb,fused,sync,0.05,attn,ssm,4096,1.0,8,400,59776,0.579,1.006,0.5202,0.5222,7498.5,1.0,7498.5,fused
falcon_h1_3b_a100_sxm4_80gb,co_schedule,sync,0.05,attn,ssm,4096,1.0,8,400,59776,0.854,1.546,0.5202,0.5248,7498.2,1.0,7498.2,prefill_only
falcon_h1_3b_a100_sxm4_80gb,dynamic_protect,decoupled,0.05,attn,ssm,4096,1.0,8,400,59776,0.844,1.49,0.5499,0.5647,7493.1,1.0,7493.1,
falcon_h1_3b_a100_sxm4_80gb,static,sync,0.05,attn,ssm,4096,1.0,8,400,59776,0.897,1.579,0.5202,0.535,7498.3,1.0,7498.3,prefill_only
falcon_h1_3b_a100_sxm4_80gb,fused,sync,0.1,attn,ssm,4096,1.0,8,400,59776,0.562,1.018,0.5222,0.5422,14748.5,1.0,14748.5,fused
falcon_h1_3b_a100_sxm4_80gb,co_schedule,sync,0.1,attn,ssm,4096,1.0,8,400,59776,0.886,1.603,0.5222,0.5422,14747.1,1.0,14747.1,prefill_only
falcon_h1_3b_a100_sxm4_80gb,dynamic_protect,decoupled,0.1,attn,ssm,4096,1.0,8,400,59776,0.898,1.868,0.5647,0.5939,14719.3,1.0,14719.3,
falcon_h1_3b_a100_sxm4_80gb,static,sync,0.1,attn,ssm,4096,1.0,8,400,59776,0.927,1.622,0.5222,0.554,14747.2,1.0,14747.2,prefill_only
falcon_h1_3b_a100_sxm4_80gb,fused,sync,0.2,attn,ssm,4096,1.0,8,400,59776,0.575,1.014,0.5422,0.5422,28539.5,1.0,28539.5,fused
falcon_h1_3b_a100_sxm4_80gb,co_schedule,sync,0.2,attn,ssm,4096,1.0,8,400,59776,0.951,1.939,0.5422,0.5868,28532.4,1.0,28532.4,prefill_only
falcon_h1_3b_a100_sxm4_80gb,dynamic_protect,decoupled,0.2,attn,ssm,4096,1.0,8,400,59776,1.031,2.077,0.5939,0.662,28398.0,1.0,28398.0,
falcon_h1_3b_a100_sxm4_80gb,static,sync,0.2,attn,ssm,4096,1.0,8,400,59776,1.003,2.103,0.5422,0.5955,28532.0,1.0,28532.0,prefill_only
falcon_h1_3b_a100_sxm4_80gb,fused,sync,0.5,attn,ssm,4096,1.0,8,400,59776,0.608,1.087,0.5868,0.9385,64649.6,1.0,64649.6,fused
falcon_h1_3b_a100_sxm4_80gb,co_schedule,sync,0.5,attn,ssm,4096,1.0,8,400,59776,1.842,5.801,0.9385,0.9462,63192.9,1.0,63192.9,prefill_only
falcon_h1_3b_a100_sxm4_80gb,dynamic_protect,decoupled,0.5,attn,ssm,4096,1.0,8,400,59776,1.899,5.882,1.1075,1.1075,61178.1,0.1789,10946.9,
falcon_h1_3b_a100_sxm4_80gb,static,sync,0.5,attn,ssm,4096,1.0,8,400,59776,2.938,10.603,1.2268,1.2268,62445.4,0.4696,29323.5,prefill_only
falcon_h1_3b_a100_sxm4_80gb,fused,sync,1.0,attn,ssm,4096,1.0,8,400,59776,0.801,1.485,0.2519,0.9385,106804.8,1.0,106804.8,fused
falcon_h1_3b_a100_sxm4_80gb,co_schedule,sync,1.0,attn,ssm,4096,1.0,8,400,59776,93.001,313.473,1.708,1.708,64849.2,0.3226,20919.6,prefill_only
falcon_h1_3b_a100_sxm4_80gb,dynamic_protect,decoupled,1.0,attn,ssm,4096,1.0,8,400,59776,115.508,385.04,1.9103,1.9103,58336.8,0.098,5715.0,
falcon_h1_3b_a100_sxm4_80gb,static,sync,1.0,attn,ssm,4096,1.0,8,400,59776,166.981,521.682,2.2615,2.2615,52771.1,0.1853,9776.3,prefill_only
falcon_h1_3b_a100_sxm4_80gb,fused,sync,2.0,attn,ssm,4096,1.0,8,400,59776,1.247,3.111,0.2529,1.665,150384.1,0.9059,136237.8,fused
falcon_h1_3b_a100_sxm4_80gb,co_schedule,sync,2.0,attn,ssm,4096,1.0,8,400,59776,173.651,490.991,1.708,1.708,66041.7,0.3184,21030.2,prefill_only
falcon_h1_3b_a100_sxm4_80gb,dynamic_protect,decoupled,2.0,attn,ssm,4096,1.0,8,400,59776,201.112,567.511,1.9103,1.9103,59010.1,0.087,5134.4,
falcon_h1_3b_a100_sxm4_80gb,static,sync,2.0,attn,ssm,4096,1.0,8,400,59776,250.991,702.559,2.2615,2.2615,53397.4,0.1759,9393.0,prefill_only
falcon_h1_3b_a100_sxm4_80gb,fused,sync,5.0,attn,ssm,4096,1.0,8,400,59776,24.159,46.705,0.2529,1.665,177333.6,0.9385,166431.2,fused
falcon_h1_3b_a100_sxm4_80gb,co_schedule,sync,5.0,attn,ssm,4096,1.0,8,400,59776,230.429,605.89,1.708,1.708,66158.5,0.3184,21063.0,prefill_only
falcon_h1_3b_a100_sxm4_80gb,dynamic_protect,decoupled,5.0,attn,ssm,4096,1.0,8,400,59776,258.381,682.901,1.9103,1.9103,59074.7,0.0869,5134.1,
falcon_h1_3b_a100_sxm4_80gb,static,sync,5.0,attn,ssm,4096,1.0,8,400,59776,308.289,817.978,2.2615,2.2615,53448.9,0.1758,9396.6,prefill_only
