model,policy,scheduler,lambda_req_ms,pf_layer,dec_layer,ctx,slo_ms,prefill_budget,n_req,tokens,ttft_p50,ttft_p99,itl_p50,itl_p99,throughput_tok_s,slo_attain,goodput_tok_s,notes
zamba2_2.7b_a100_sxm4_80gb,fused,sync,0.05,attn,attn,4096,1.0,8,400,59776,1.444,3.959,0.1393,0.6318,7604.0,0.9903,7530.1,fused_measured
zamba2_2.7b_a100_sxm4_80gb,dynamic_protect,decoupled,0.05,attn,attn,4096,1.0,8,400,59776,1.909,5.25,0.19,0.7813,7594.2,1.0,7594.2,
zamba2_2.7b_a100_sxm4_80gb,fused,sync,0.1,attn,attn,4096,1.0,8,400,59776,4.937,14.617,2.0019,3.3029,14253.6,0.1904,2713.6,fused_measured
zamba2_2.7b_a100_sxm4_80gb,dynamic_protect,decoupled,0.1,attn,attn,4096,1.0,8,400,59776,3.015,7.95,0.7813,0.7813,14777.3,1.0,14777.3,
zamba2_2.7b_a100_sxm4_80gb,fused,sync,0.2,attn,attn,4096,1.0,8,400,59776,502.277,1770.198,9.2227,9.2227,13142.5,0.0418,549.2,fused_measured
zamba2_2.7b_a100_sxm4_80gb,dynamic_protect,decoupled,0.2,attn,attn,4096,1.0,8,400,59776,4.802,13.899,0.7813,0.7813,28230.0,1.0,28230.0,
zamba2_2.7b_a100_sxm4_80gb,fused,sync,0.5,attn,attn,4096,1.0,8,400,59776,1052.994,2902.121,9.2227,9.2227,13238.7,0.0145,192.0,fused_measured
zamba2_2.7b_a100_sxm4_80gb,dynamic_protect,decoupled,0.5,attn,attn,4096,1.0,8,400,59776,195.869,375.771,0.7813,0.7813,44816.8,1.0,44816.8,
zamba2_2.7b_a100_sxm4_80gb,fused,sync,1.0,attn,attn,4096,1.0,8,400,59776,1241.732,3284.594,9.2227,9.2227,13255.8,0.0116,153.2,fused_measured
zamba2_2.7b_a100_sxm4_80gb,dynamic_protect,decoupled,1.0,attn,attn,4096,1.0,8,400,59776,384.658,759.342,0.7813,0.7813,44989.8,1.0,44989.8,
zamba2_2.7b_a100_sxm4_80gb,fused,sync,5.0,attn,attn,4096,1.0,8,400,59776,1395.915,3593.765,9.2227,9.2227,13260.2,0.0116,153.3,fused_measured
zamba2_2.7b_a100_sxm4_80gb,dynamic_protect,decoupled,5.0,attn,attn,4096,1.0,8,400,59776,538.841,1068.513,0.7813,0.7813,45040.2,1.0,45040.2,
