model,policy,lambda_req_ms,pf_layer,dec_layer,ctx,slo_ms,n_req,tokens,ttft_p50,ttft_p99,itl_p50,itl_p99,throughput_tok_s,slo_attain,notes
zamba2_2.7b_a100_sxm4_80gb,co_schedule,0.05,attn,ssm,4096,1.0,400,59776,4.398,13.068,0.5166,0.5606,7497.0,1.0,prefill_only
zamba2_2.7b_a100_sxm4_80gb,dynamic_protect,0.05,attn,ssm,4096,1.0,400,59776,4.727,14.355,0.5166,0.6257,7497.0,1.0,prefill_only
zamba2_2.7b_a100_sxm4_80gb,static,0.05,attn,ssm,4096,1.0,400,59776,4.581,14.634,0.5166,0.6241,7497.2,1.0,prefill_only
zamba2_2.7b_a100_sxm4_80gb,co_schedule,0.1,attn,ssm,4096,1.0,400,59776,5.065,20.403,0.5402,0.6241,14734.1,1.0,prefill_only
zamba2_2.7b_a100_sxm4_80gb,dynamic_protect,0.1,attn,ssm,4096,1.0,400,59776,6.058,23.721,0.5786,0.6963,14728.1,1.0,prefill_only
zamba2_2.7b_a100_sxm4_80gb,static,0.1,attn,ssm,4096,1.0,400,59776,6.399,23.812,0.5632,0.7444,14727.8,1.0,prefill_only
zamba2_2.7b_a100_sxm4_80gb,co_schedule,0.2,attn,ssm,4096,1.0,400,59776,35.205,76.754,0.6241,0.6241,28272.2,1.0,prefill_only
zamba2_2.7b_a100_sxm4_80gb,dynamic_protect,0.2,attn,ssm,4096,1.0,400,59776,117.644,202.641,0.6963,1.0086,26006.3,0.9381,prefill_only
zamba2_2.7b_a100_sxm4_80gb,static,0.2,attn,ssm,4096,1.0,400,59776,173.372,319.998,0.7444,0.9876,24680.2,1.0,prefill_only
zamba2_2.7b_a100_sxm4_80gb,co_schedule,0.5,attn,ssm,4096,1.0,400,59776,525.632,1068.286,0.6241,0.748,29801.5,1.0,prefill_only
zamba2_2.7b_a100_sxm4_80gb,dynamic_protect,0.5,attn,ssm,4096,1.0,400,59776,631.754,1305.618,0.6963,1.0086,26609.9,0.9339,prefill_only
zamba2_2.7b_a100_sxm4_80gb,static,0.5,attn,ssm,4096,1.0,400,59776,696.425,1430.544,0.7444,0.9876,25201.7,1.0,prefill_only
zamba2_2.7b_a100_sxm4_80gb,co_schedule,1.0,attn,ssm,4096,1.0,400,59776,718.361,1455.65,0.6241,0.748,29829.1,1.0,prefill_only
zamba2_2.7b_a100_sxm4_80gb,dynamic_protect,1.0,attn,ssm,4096,1.0,400,59776,824.483,1692.466,0.6963,1.0086,26632.0,0.9339,prefill_only
zamba2_2.7b_a100_sxm4_80gb,static,1.0,attn,ssm,4096,1.0,400,59776,889.153,1817.432,0.7444,0.9876,25221.5,1.0,prefill_only
zamba2_2.7b_a100_sxm4_80gb,co_schedule,2.0,attn,ssm,4096,1.0,400,59776,814.725,1648.882,0.6241,0.748,29843.0,1.0,prefill_only
zamba2_2.7b_a100_sxm4_80gb,dynamic_protect,2.0,attn,ssm,4096,1.0,400,59776,920.847,1885.698,0.6963,1.0086,26643.0,0.9339,prefill_only
zamba2_2.7b_a100_sxm4_80gb,static,2.0,attn,ssm,4096,1.0,400,59776,985.518,2010.664,0.7444,0.9876,25231.4,1.0,prefill_only
zamba2_2.7b_a100_sxm4_80gb,co_schedule,5.0,attn,ssm,4096,1.0,400,59776,872.544,1764.821,0.6241,0.748,29851.3,1.0,prefill_only
zamba2_2.7b_a100_sxm4_80gb,dynamic_protect,5.0,attn,ssm,4096,1.0,400,59776,978.666,2001.637,0.6963,1.0086,26649.7,0.9339,prefill_only
zamba2_2.7b_a100_sxm4_80gb,static,5.0,attn,ssm,4096,1.0,400,59776,1043.336,2126.603,0.7444,0.9876,25237.3,1.0,prefill_only
