model,policy,scheduler,lambda_req_ms,pf_layer,dec_layer,ctx,slo_ms,prefill_budget,n_req,tokens,ttft_p50,ttft_p99,itl_p50,itl_p99,throughput_tok_s,slo_attain,goodput_tok_s,notes
zamba2_2.7b_a100_sxm4_80gb,fused,sync,0.05,attn,ssm,4096,1.0,1,400,59776,1.97,5.035,0.5161,0.5402,7498.3,1.0,7498.3,fused
zamba2_2.7b_a100_sxm4_80gb,co_schedule,sync,0.05,attn,ssm,4096,1.0,1,400,59776,4.398,13.068,0.5166,0.5606,7497.0,1.0,7497.0,prefill_only
zamba2_2.7b_a100_sxm4_80gb,dynamic_protect,decoupled,0.05,attn,ssm,4096,1.0,1,400,59776,2.39,8.594,0.5786,0.6257,7484.9,1.0,7484.9,
zamba2_2.7b_a100_sxm4_80gb,static,sync,0.05,attn,ssm,4096,1.0,1,400,59776,4.581,14.634,0.5166,0.6241,7497.2,1.0,7497.2,prefill_only
zamba2_2.7b_a100_sxm4_80gb,fused,sync,0.1,attn,ssm,4096,1.0,1,400,59776,2.026,5.773,0.5161,0.6062,14743.7,1.0,14743.7,fused
zamba2_2.7b_a100_sxm4_80gb,co_schedule,sync,0.1,attn,ssm,4096,1.0,1,400,59776,5.065,20.403,0.5402,0.6241,14734.1,1.0,14734.1,prefill_only
zamba2_2.7b_a100_sxm4_80gb,dynamic_protect,decoupled,0.1,attn,ssm,4096,1.0,1,400,59776,3.498,11.186,0.6257,0.6963,14675.0,1.0,14675.0,
zamba2_2.7b_a100_sxm4_80gb,static,sync,0.1,attn,ssm,4096,1.0,1,400,59776,6.399,23.812,0.5632,0.7444,14727.8,1.0,14727.8,prefill_only
zamba2_2.7b_a100_sxm4_80gb,fused,sync,0.2,attn,ssm,4096,1.0,1,400,59776,2.237,7.006,0.2371,0.6062,28506.1,1.0,28506.1,fused
zamba2_2.7b_a100_sxm4_80gb,co_schedule,sync,0.2,attn,ssm,4096,1.0,1,400,59776,35.205,76.754,0.6241,0.6241,28272.2,1.0,28272.2,prefill_only
zamba2_2.7b_a100_sxm4_80gb,dynamic_protect,decoupled,0.2,attn,ssm,4096,1.0,1,400,59776,10.619,59.783,0.6963,0.7936,28097.5,1.0,28097.5,
zamba2_2.7b_a100_sxm4_80gb,static,sync,0.2,attn,ssm,4096,1.0,1,400,59776,173.372,319.998,0.7444,0.9876,24680.2,1.0,24680.2,prefill_only
zamba2_2.7b_a100_sxm4_80gb,fused,sync,0.5,attn,ssm,4096,1.0,1,400,59776,8.223,23.1,0.2355,0.6062,64282.9,1.0,64282.9,fused
zamba2_2.7b_a100_sxm4_80gb,co_schedule,sync,0.5,attn,ssm,4096,1.0,1,400,59776,525.632,1068.286,0.6241,0.748,29801.5,1.0,29801.5,prefill_only
zamba2_2.7b_a100_sxm4_80gb,dynamic_protect,decoupled,0.5,attn,ssm,4096,1.0,1,400,59776,480.962,980.7,0.6963,0.7936,30790.7,1.0,30790.7,
zamba2_2.7b_a100_sxm4_80gb,static,sync,0.5,attn,ssm,4096,1.0,1,400,59776,696.425,1430.544,0.7444,0.9876,25201.7,1.0,25201.7,prefill_only
zamba2_2.7b_a100_sxm4_80gb,fused,sync,1.0,attn,ssm,4096,1.0,1,400,59776,155.402,306.766,0.2355,0.6062,70792.0,1.0,70792.0,fused
zamba2_2.7b_a100_sxm4_80gb,co_schedule,sync,1.0,attn,ssm,4096,1.0,1,400,59776,718.361,1455.65,0.6241,0.748,29829.1,1.0,29829.1,prefill_only
zamba2_2.7b_a100_sxm4_80gb,dynamic_protect,decoupled,1.0,attn,ssm,4096,1.0,1,400,59776,670.276,1363.873,0.6963,0.7936,30873.0,1.0,30873.0,
zamba2_2.7b_a100_sxm4_80gb,static,sync,1.0,attn,ssm,4096,1.0,1,400,59776,889.153,1817.432,0.7444,0.9876,25221.5,1.0,25221.5,prefill_only
zamba2_2.7b_a100_sxm4_80gb,fused,sync,2.0,attn,ssm,4096,1.0,1,400,59776,251.766,500.527,0.2355,0.6062,70870.1,1.0,70870.1,fused
zamba2_2.7b_a100_sxm4_80gb,co_schedule,sync,2.0,attn,ssm,4096,1.0,1,400,59776,814.725,1648.882,0.6241,0.748,29843.0,1.0,29843.0,prefill_only
zamba2_2.7b_a100_sxm4_80gb,dynamic_protect,decoupled,2.0,attn,ssm,4096,1.0,1,400,59776,766.64,1557.105,0.6963,0.7936,30887.9,1.0,30887.9,
zamba2_2.7b_a100_sxm4_80gb,static,sync,2.0,attn,ssm,4096,1.0,1,400,59776,985.518,2010.664,0.7444,0.9876,25231.4,1.0,25231.4,prefill_only
zamba2_2.7b_a100_sxm4_80gb,fused,sync,5.0,attn,ssm,4096,1.0,1,400,59776,309.585,616.595,0.2355,0.6062,70917.0,1.0,70917.0,fused
zamba2_2.7b_a100_sxm4_80gb,co_schedule,sync,5.0,attn,ssm,4096,1.0,1,400,59776,872.544,1764.821,0.6241,0.748,29851.3,1.0,29851.3,prefill_only
zamba2_2.7b_a100_sxm4_80gb,dynamic_protect,decoupled,5.0,attn,ssm,4096,1.0,1,400,59776,824.459,1673.044,0.6963,0.7936,30896.8,1.0,30896.8,
zamba2_2.7b_a100_sxm4_80gb,static,sync,5.0,attn,ssm,4096,1.0,1,400,59776,1043.336,2126.603,0.7444,0.9876,25237.3,1.0,25237.3,prefill_only
