model,policy,lambda_req_ms,pf_layer,dec_layer,ctx,slo_ms,n_req,tokens,ttft_p50,ttft_p99,itl_p50,itl_p99,throughput_tok_s,slo_attain,notes
zamba2_2.7b_a100_sxm4_80gb,co_schedule,0.05,ssm,ssm,4096,1.0,400,59776,5.066,16.161,0.5279,0.619,7495.9,1.0,prefill_only
zamba2_2.7b_a100_sxm4_80gb,dynamic_protect,0.05,ssm,ssm,4096,1.0,400,59776,5.3,16.627,0.5279,0.6554,7495.8,1.0,prefill_only
zamba2_2.7b_a100_sxm4_80gb,static,0.05,ssm,ssm,4096,1.0,400,59776,5.446,17.367,0.5279,0.6574,7495.7,1.0,prefill_only
zamba2_2.7b_a100_sxm4_80gb,co_schedule,0.1,ssm,ssm,4096,1.0,400,59776,5.607,23.183,0.6093,0.6236,14729.4,1.0,prefill_only
zamba2_2.7b_a100_sxm4_80gb,dynamic_protect,0.1,ssm,ssm,4096,1.0,400,59776,7.393,26.18,0.6093,0.6892,14724.9,1.0,prefill_only
zamba2_2.7b_a100_sxm4_80gb,static,0.1,ssm,ssm,4096,1.0,400,59776,7.687,25.967,0.6093,0.7378,14726.4,1.0,prefill_only
zamba2_2.7b_a100_sxm4_80gb,co_schedule,0.2,ssm,ssm,4096,1.0,400,59776,35.608,76.813,0.6236,0.6236,28266.1,1.0,prefill_only
zamba2_2.7b_a100_sxm4_80gb,dynamic_protect,0.2,ssm,ssm,4096,1.0,400,59776,110.422,187.846,0.6892,0.8643,26430.6,1.0,prefill_only
zamba2_2.7b_a100_sxm4_80gb,static,0.2,ssm,ssm,4096,1.0,400,59776,167.028,304.079,0.7378,0.9733,24852.0,1.0,prefill_only
zamba2_2.7b_a100_sxm4_80gb,co_schedule,0.5,ssm,ssm,4096,1.0,400,59776,536.875,1078.62,0.6236,0.7363,29643.7,1.0,prefill_only
zamba2_2.7b_a100_sxm4_80gb,dynamic_protect,0.5,ssm,ssm,4096,1.0,400,59776,630.446,1276.374,0.6892,0.8643,26971.0,1.0,prefill_only
zamba2_2.7b_a100_sxm4_80gb,static,0.5,ssm,ssm,4096,1.0,400,59776,699.345,1423.613,0.7378,0.9733,25273.2,1.0,prefill_only
zamba2_2.7b_a100_sxm4_80gb,co_schedule,1.0,ssm,ssm,4096,1.0,400,59776,729.604,1466.008,0.6236,0.7363,29671.1,1.0,prefill_only
zamba2_2.7b_a100_sxm4_80gb,dynamic_protect,1.0,ssm,ssm,4096,1.0,400,59776,823.175,1663.505,0.6892,0.8643,26993.7,1.0,prefill_only
zamba2_2.7b_a100_sxm4_80gb,static,1.0,ssm,ssm,4096,1.0,400,59776,892.073,1810.53,0.7378,0.9733,25293.1,1.0,prefill_only
zamba2_2.7b_a100_sxm4_80gb,co_schedule,2.0,ssm,ssm,4096,1.0,400,59776,825.968,1659.24,0.6236,0.7363,29684.8,1.0,prefill_only
zamba2_2.7b_a100_sxm4_80gb,dynamic_protect,2.0,ssm,ssm,4096,1.0,400,59776,919.539,1856.737,0.6892,0.8643,27005.0,1.0,prefill_only
zamba2_2.7b_a100_sxm4_80gb,static,2.0,ssm,ssm,4096,1.0,400,59776,988.438,2003.762,0.7378,0.9733,25303.0,1.0,prefill_only
zamba2_2.7b_a100_sxm4_80gb,co_schedule,5.0,ssm,ssm,4096,1.0,400,59776,883.787,1775.179,0.6236,0.7363,29693.0,1.0,prefill_only
zamba2_2.7b_a100_sxm4_80gb,dynamic_protect,5.0,ssm,ssm,4096,1.0,400,59776,977.358,1972.676,0.6892,0.8643,27011.8,1.0,prefill_only
zamba2_2.7b_a100_sxm4_80gb,static,5.0,ssm,ssm,4096,1.0,400,59776,1046.256,2119.701,0.7378,0.9733,25309.0,1.0,prefill_only
