model,policy,scheduler,lambda_req_ms,pf_layer,dec_layer,ctx,slo_ms,prefill_budget,n_req,tokens,ttft_p50,ttft_p99,itl_p50,itl_p99,throughput_tok_s,slo_attain,goodput_tok_s,notes
zamba2_2.7b_a100_sxm4_80gb,fused,sync,0.05,ssm,ssm,4096,1.0,8,400,59776,1.229,2.407,0.51,0.8812,7499.3,1.0,7499.3,fused
zamba2_2.7b_a100_sxm4_80gb,co_schedule,sync,0.05,ssm,ssm,4096,1.0,8,400,59776,1.215,2.558,0.51,0.8852,7499.2,1.0,7499.2,prefill_only
zamba2_2.7b_a100_sxm4_80gb,dynamic_protect,decoupled,0.05,ssm,ssm,4096,1.0,8,400,59776,1.892,4.045,0.5432,0.574,7493.9,1.0,7493.9,
zamba2_2.7b_a100_sxm4_80gb,static,sync,0.05,ssm,ssm,4096,1.0,8,400,59776,1.561,3.462,0.51,1.2073,7498.7,0.9671,7252.2,prefill_only
zamba2_2.7b_a100_sxm4_80gb,fused,sync,0.1,ssm,ssm,4096,1.0,8,400,59776,1.26,2.744,0.5115,0.8837,14754.3,1.0,14754.3,fused
zamba2_2.7b_a100_sxm4_80gb,co_schedule,sync,0.1,ssm,ssm,4096,1.0,8,400,59776,1.239,2.725,0.5115,0.8878,14754.5,1.0,14754.5,prefill_only
zamba2_2.7b_a100_sxm4_80gb,dynamic_protect,decoupled,0.1,ssm,ssm,4096,1.0,8,400,59776,2.233,6.77,0.574,0.6359,14714.4,1.0,14714.4,
zamba2_2.7b_a100_sxm4_80gb,static,sync,0.1,ssm,ssm,4096,1.0,8,400,59776,1.641,3.7,0.5115,1.2088,14752.0,0.929,13704.9,prefill_only
zamba2_2.7b_a100_sxm4_80gb,fused,sync,0.2,ssm,ssm,4096,1.0,8,400,59776,1.292,2.96,0.5642,0.8837,28518.1,1.0,28518.1,fused
zamba2_2.7b_a100_sxm4_80gb,co_schedule,sync,0.2,ssm,ssm,4096,1.0,8,400,59776,1.359,2.914,0.5642,0.8929,28520.9,1.0,28520.9,prefill_only
zamba2_2.7b_a100_sxm4_80gb,dynamic_protect,decoupled,0.2,ssm,ssm,4096,1.0,8,400,59776,4.923,27.727,0.6359,0.6943,28295.5,1.0,28295.5,
zamba2_2.7b_a100_sxm4_80gb,static,sync,0.2,ssm,ssm,4096,1.0,8,400,59776,1.741,4.58,0.5642,1.2093,28503.6,0.831,23685.6,prefill_only
zamba2_2.7b_a100_sxm4_80gb,fused,sync,0.5,ssm,ssm,4096,1.0,8,400,59776,1.891,5.198,0.8156,0.8858,63256.0,1.0,63256.0,fused
zamba2_2.7b_a100_sxm4_80gb,co_schedule,sync,0.5,ssm,ssm,4096,1.0,8,400,59776,1.996,5.527,0.8156,0.8934,63240.8,1.0,63240.8,prefill_only
zamba2_2.7b_a100_sxm4_80gb,dynamic_protect,decoupled,0.5,ssm,ssm,4096,1.0,8,400,59776,396.911,800.229,0.6943,0.6943,34233.7,1.0,34233.7,
zamba2_2.7b_a100_sxm4_80gb,static,sync,0.5,ssm,ssm,4096,1.0,8,400,59776,56.622,203.972,2.2103,2.2103,50327.4,0.1715,8629.0,prefill_only
zamba2_2.7b_a100_sxm4_80gb,fused,sync,1.0,ssm,ssm,4096,1.0,8,400,59776,31.93,56.045,0.8817,1.3384,93418.2,0.9385,87674.9,fused
zamba2_2.7b_a100_sxm4_80gb,co_schedule,sync,1.0,ssm,ssm,4096,1.0,8,400,59776,73.98,228.562,1.4367,1.4367,72901.6,0.319,23256.2,prefill_only
zamba2_2.7b_a100_sxm4_80gb,dynamic_protect,decoupled,1.0,ssm,ssm,4096,1.0,8,400,59776,580.689,1178.037,0.6943,0.6943,34441.2,1.0,34441.2,
zamba2_2.7b_a100_sxm4_80gb,static,sync,1.0,ssm,ssm,4096,1.0,8,400,59776,217.825,560.109,2.2103,2.2103,51737.9,0.1521,7871.1,prefill_only
zamba2_2.7b_a100_sxm4_80gb,fused,sync,2.0,ssm,ssm,4096,1.0,8,400,59776,123.185,240.139,0.8817,1.3384,94194.8,0.9385,88403.8,fused
zamba2_2.7b_a100_sxm4_80gb,co_schedule,sync,2.0,ssm,ssm,4096,1.0,8,400,59776,165.897,417.443,1.4367,1.4367,73374.2,0.3184,23360.3,prefill_only
zamba2_2.7b_a100_sxm4_80gb,dynamic_protect,decoupled,2.0,ssm,ssm,4096,1.0,8,400,59776,677.054,1371.269,0.6943,0.6943,34459.6,1.0,34459.6,
zamba2_2.7b_a100_sxm4_80gb,static,sync,2.0,ssm,ssm,4096,1.0,8,400,59776,314.189,753.341,2.2103,2.2103,51779.6,0.1521,7877.5,prefill_only
zamba2_2.7b_a100_sxm4_80gb,fused,sync,5.0,ssm,ssm,4096,1.0,8,400,59776,181.004,356.078,0.8817,1.3384,94277.8,0.9385,88481.6,fused
zamba2_2.7b_a100_sxm4_80gb,co_schedule,sync,5.0,ssm,ssm,4096,1.0,8,400,59776,223.715,533.382,1.4367,1.4367,73424.5,0.3184,23376.3,prefill_only
zamba2_2.7b_a100_sxm4_80gb,dynamic_protect,decoupled,5.0,ssm,ssm,4096,1.0,8,400,59776,734.872,1487.209,0.6943,0.6943,34470.7,1.0,34470.7,
zamba2_2.7b_a100_sxm4_80gb,static,sync,5.0,ssm,ssm,4096,1.0,8,400,59776,372.008,869.28,2.2103,2.2103,51804.6,0.1521,7881.3,prefill_only
