model,policy,scheduler,lambda_req_ms,pf_layer,dec_layer,ctx,slo_ms,prefill_budget,n_req,tokens,ttft_p50,ttft_p99,itl_p50,itl_p99,throughput_tok_s,slo_attain,goodput_tok_s,notes
zamba2_7b_a100_sxm4_80gb,fused,sync,0.05,attn,ssm,4096,1.0,1,400,59776,2.836,7.929,0.514,0.5581,7498.4,1.0,7498.4,fused
zamba2_7b_a100_sxm4_80gb,co_schedule,sync,0.05,attn,ssm,4096,1.0,1,400,59776,4.387,13.477,0.514,0.5816,7497.7,1.0,7497.7,prefill_only
zamba2_7b_a100_sxm4_80gb,dynamic_protect,decoupled,0.05,attn,ssm,4096,1.0,1,400,59776,3.231,8.847,0.5279,0.5816,7496.5,1.0,7496.5,
zamba2_7b_a100_sxm4_80gb,static,sync,0.05,attn,ssm,4096,1.0,1,400,59776,4.842,15.637,0.514,0.6687,7497.5,1.0,7497.5,prefill_only
zamba2_7b_a100_sxm4_80gb,fused,sync,0.1,attn,ssm,4096,1.0,1,400,59776,2.997,9.411,0.514,0.6528,14737.0,1.0,14737.0,fused
zamba2_7b_a100_sxm4_80gb,co_schedule,sync,0.1,attn,ssm,4096,1.0,1,400,59776,5.545,21.261,0.5581,0.6687,14726.5,1.0,14726.5,prefill_only
zamba2_7b_a100_sxm4_80gb,dynamic_protect,decoupled,0.1,attn,ssm,4096,1.0,1,400,59776,3.317,10.238,0.5816,0.6687,14716.3,1.0,14716.3,
zamba2_7b_a100_sxm4_80gb,static,sync,0.1,attn,ssm,4096,1.0,1,400,59776,8.482,26.891,0.6528,0.8325,14717.5,1.0,14717.5,prefill_only
zamba2_7b_a100_sxm4_80gb,fused,sync,0.2,attn,ssm,4096,1.0,1,400,59776,4.15,14.198,0.343,0.6528,28408.7,1.0,28408.7,fused
zamba2_7b_a100_sxm4_80gb,co_schedule,sync,0.2,attn,ssm,4096,1.0,1,400,59776,81.446,135.723,0.6687,0.8248,27160.8,1.0,27160.8,prefill_only
zamba2_7b_a100_sxm4_80gb,dynamic_protect,decoupled,0.2,attn,ssm,4096,1.0,1,400,59776,6.006,17.482,0.6687,0.8248,28246.8,1.0,28246.8,
zamba2_7b_a100_sxm4_80gb,static,sync,0.2,attn,ssm,4096,1.0,1,400,59776,286.327,574.488,0.8325,1.1607,22232.1,0.9381,20855.3,prefill_only
zamba2_7b_a100_sxm4_80gb,fused,sync,0.5,attn,ssm,4096,1.0,1,400,59776,129.902,246.832,0.343,0.6528,50706.4,1.0,50706.4,fused
zamba2_7b_a100_sxm4_80gb,co_schedule,sync,0.5,attn,ssm,4096,1.0,1,400,59776,590.029,1201.996,0.6687,0.8248,27853.6,1.0,27853.6,prefill_only
zamba2_7b_a100_sxm4_80gb,dynamic_protect,decoupled,0.5,attn,ssm,4096,1.0,1,400,59776,223.448,440.721,0.8248,0.8248,42627.2,1.0,42627.2,
zamba2_7b_a100_sxm4_80gb,static,sync,0.5,attn,ssm,4096,1.0,1,400,59776,823.855,1697.823,0.8325,1.1607,22580.7,0.9339,21087.8,prefill_only
zamba2_7b_a100_sxm4_80gb,fused,sync,1.0,attn,ssm,4096,1.0,1,400,59776,314.236,623.666,0.343,0.6528,51126.4,1.0,51126.4,fused
zamba2_7b_a100_sxm4_80gb,co_schedule,sync,1.0,attn,ssm,4096,1.0,1,400,59776,782.758,1589.205,0.6687,0.8248,27877.8,1.0,27877.8,prefill_only
zamba2_7b_a100_sxm4_80gb,dynamic_protect,decoupled,1.0,attn,ssm,4096,1.0,1,400,59776,415.885,827.189,0.8248,0.8248,42683.9,1.0,42683.9,
zamba2_7b_a100_sxm4_80gb,static,sync,1.0,attn,ssm,4096,1.0,1,400,59776,1016.584,2084.373,0.8325,1.1607,22596.6,0.9339,21102.6,prefill_only
zamba2_7b_a100_sxm4_80gb,fused,sync,2.0,attn,ssm,4096,1.0,1,400,59776,410.6,817.409,0.343,0.6528,51167.1,1.0,51167.1,fused
zamba2_7b_a100_sxm4_80gb,co_schedule,sync,2.0,attn,ssm,4096,1.0,1,400,59776,879.122,1782.437,0.6687,0.8248,27889.9,1.0,27889.9,prefill_only
zamba2_7b_a100_sxm4_80gb,dynamic_protect,decoupled,2.0,attn,ssm,4096,1.0,1,400,59776,512.249,1020.793,0.8248,0.8248,42712.3,1.0,42712.3,
zamba2_7b_a100_sxm4_80gb,static,sync,2.0,attn,ssm,4096,1.0,1,400,59776,1112.948,2277.605,0.8325,1.1607,22604.5,0.9339,21110.0,prefill_only
zamba2_7b_a100_sxm4_80gb,fused,sync,5.0,attn,ssm,4096,1.0,1,400,59776,468.419,933.348,0.343,0.6528,51191.6,1.0,51191.6,fused
zamba2_7b_a100_sxm4_80gb,co_schedule,sync,5.0,attn,ssm,4096,1.0,1,400,59776,936.94,1898.376,0.6687,0.8248,27897.1,1.0,27897.1,prefill_only
zamba2_7b_a100_sxm4_80gb,dynamic_protect,decoupled,5.0,attn,ssm,4096,1.0,1,400,59776,570.068,1136.732,0.8248,0.8248,42729.3,1.0,42729.3,
zamba2_7b_a100_sxm4_80gb,static,sync,5.0,attn,ssm,4096,1.0,1,400,59776,1170.766,2393.544,0.8325,1.1607,22609.3,0.9339,21114.5,prefill_only
