model,device,layer_type,n_sm_req,n_sm_actual,prefill_ms,ratio_vs_full,status
zamba2_1.2b,a100_sxm4_80gb,ssm,14,14,1.1904,2.032,ok
zamba2_1.2b,a100_sxm4_80gb,ssm,27,28,0.8422,1.438,ok
zamba2_1.2b,a100_sxm4_80gb,ssm,40,40,0.7332,1.252,ok
zamba2_1.2b,a100_sxm4_80gb,ssm,54,54,0.6764,1.155,ok
zamba2_1.2b,a100_sxm4_80gb,ssm,68,68,0.639,1.091,ok
zamba2_1.2b,a100_sxm4_80gb,ssm,81,82,0.6103,1.042,ok
zamba2_1.2b,a100_sxm4_80gb,ssm,94,94,0.5944,1.015,ok
zamba2_1.2b,a100_sxm4_80gb,ssm,108,108,0.5857,1.0,ok
zamba2_1.2b,a100_sxm4_80gb,attn,14,14,5.3688,6.926,ok
zamba2_1.2b,a100_sxm4_80gb,attn,27,28,2.775,3.58,ok
zamba2_1.2b,a100_sxm4_80gb,attn,40,40,1.92,2.477,ok
zamba2_1.2b,a100_sxm4_80gb,attn,54,54,1.4858,1.917,ok
zamba2_1.2b,a100_sxm4_80gb,attn,68,68,1.196,1.543,ok
zamba2_1.2b,a100_sxm4_80gb,attn,81,82,1.0568,1.363,ok
zamba2_1.2b,a100_sxm4_80gb,attn,94,94,0.9083,1.172,ok
zamba2_1.2b,a100_sxm4_80gb,attn,108,108,0.7752,1.0,ok
