model,device,layer_type,n_sm_req,n_sm_actual,prefill_ms,ratio_vs_full,status
zamba2_7b,a100_sxm4_80gb,ssm,14,14,1.5816,2.481,ok
zamba2_7b,a100_sxm4_80gb,ssm,27,28,1.0383,1.629,ok
zamba2_7b,a100_sxm4_80gb,ssm,40,40,0.8745,1.372,ok
zamba2_7b,a100_sxm4_80gb,ssm,54,54,0.7752,1.216,ok
zamba2_7b,a100_sxm4_80gb,ssm,68,68,0.7209,1.131,ok
zamba2_7b,a100_sxm4_80gb,ssm,81,82,0.6804,1.067,ok
zamba2_7b,a100_sxm4_80gb,ssm,94,94,0.6548,1.027,ok
zamba2_7b,a100_sxm4_80gb,ssm,108,108,0.6374,1.0,ok
zamba2_7b,a100_sxm4_80gb,attn,14,14,12.2557,7.271,ok
zamba2_7b,a100_sxm4_80gb,attn,27,28,6.2904,3.732,ok
zamba2_7b,a100_sxm4_80gb,attn,40,40,4.3295,2.569,ok
zamba2_7b,a100_sxm4_80gb,attn,54,54,3.3311,1.976,ok
zamba2_7b,a100_sxm4_80gb,attn,68,68,2.6706,1.584,ok
zamba2_7b,a100_sxm4_80gb,attn,81,82,2.3409,1.389,ok
zamba2_7b,a100_sxm4_80gb,attn,94,94,2.0132,1.194,ok
zamba2_7b,a100_sxm4_80gb,attn,108,108,1.6855,1.0,ok
