cell            tau arm          mean      SD  SE(mean)  10% rel  P(false halt) rel  P(false halt) abs .10
Zamba2 r2        40 agnostic   0.0438  0.0308    0.0138   0.0044              0.812                  0.000
Zamba2 r2        40 plain      0.8365  0.0415    0.0186   0.0837              0.000                  0.000
Zamba2 r3        40 agnostic   0.1703  0.1283    0.0574   0.0170              0.813                  0.169
Zamba2 r3        40 plain      0.9449  0.0247    0.0110   0.0945              0.000                  0.000
Granite r3       40 agnostic   0.0633  0.0415    0.0186   0.0063              0.807                  0.000
Granite r3       40 plain      0.8667  0.0386    0.0173   0.0867              0.000                  0.000
Granite r4       40 agnostic   0.0417  0.0270    0.0121   0.0042              0.788                  0.000
Granite r4       40 plain      0.9500  0.0083    0.0037   0.0950              0.000                  0.000
Granite r6       40 agnostic   0.0517  0.0473    0.0211   0.0052              0.831                  0.000
Granite r6       40 plain      0.9833  0.0083    0.0037   0.0983              0.000                  0.000

Zamba2 r2        60 agnostic   0.0370  0.0244    0.0109   0.0037              0.768                  0.000
Zamba2 r2        60 plain      0.8348  0.0449    0.0201   0.0835              0.001                  0.000
Zamba2 r3        60 agnostic   0.0151  0.0255    0.0114   0.0015              0.897                  0.000
Zamba2 r3        60 plain      0.9449  0.0247    0.0110   0.0945              0.000                  0.000
Granite r3       60 agnostic   0.0100  0.0137    0.0061   0.0010              0.908                  0.000
Granite r3       60 plain      0.8583  0.0453    0.0202   0.0858              0.000                  0.000
Granite r4       60 agnostic   0.0167  0.0228    0.0102   0.0017              0.748                  0.000
Granite r4       60 plain      0.9500  0.0083    0.0037   0.0950              0.000                  0.000
Granite r6       60 agnostic   0.0133  0.0192    0.0086   0.0013              0.898                  0.000
Granite r6       60 plain      0.9833  0.0083    0.0037   0.0983              0.000                  0.000

