L,B,SM,bs_obs,ntok_obs,ctxlen,per_attn_ms,per_mamba_ms,cost_ratio_attn_over_mamba
2000,1,8,1,1778,1778,11.7966,17.8854,0.660
2000,1,16,1,1778,1778,5.9180,9.0554,0.654
2000,1,24,1,1778,1778,4.0759,6.0758,0.671
2000,1,44,1,1778,1778,2.3004,3.5229,0.653
2000,1,108,1,1778,1778,1.0293,2.1601,0.477
2000,4,8,3,5334,1778,24.3425,35.5719,0.684
2000,4,16,3,5334,1778,12.3184,18.3321,0.672
2000,4,24,3,5334,1778,8.3148,12.0732,0.689
2000,4,44,3,5334,1778,4.6669,6.7799,0.688
2000,4,108,3,5334,1778,2.0809,2.9633,0.702
2000,48,8,10,16384,1778,97.9571,155.9721,0.628
2000,48,16,10,16384,1778,47.9811,75.6748,0.634
2000,48,24,10,16384,1778,32.1521,50.6776,0.634
2000,48,44,10,16384,1778,17.8340,27.9408,0.638
2000,48,108,10,16384,1778,7.7404,16.4722,0.470
8000,1,8,1,7106,7106,174.8989,69.7895,2.506
8000,1,16,1,7106,7106,88.3724,35.2307,2.508
8000,1,24,1,7106,7106,59.1762,23.6326,2.504
8000,1,44,1,7106,7106,32.5689,12.9861,2.508
8000,1,108,1,7106,7106,13.4860,5.5707,2.421
8000,4,8,1,7106,7106,255.1505,95.0440,2.685
8000,4,16,1,7106,7106,129.0357,47.9924,2.689
8000,4,24,1,7106,7106,86.2257,32.1171,2.685
8000,4,44,1,7106,7106,47.1454,17.6818,2.666
8000,4,108,1,7106,7106,19.8754,7.5154,2.645
8000,16,8,2,8286,7106,558.6877,166.0820,3.364
8000,16,16,2,8286,7106,282.2075,83.5798,3.377
8000,16,24,2,8286,7106,188.2485,55.9055,3.367
8000,16,44,2,8286,7106,103.1442,30.6819,3.362
8000,16,108,2,8286,7106,43.2601,12.8319,3.371
8000,48,8,3,16384,7106,611.8049,189.1804,3.234
8000,48,16,3,16384,7106,309.0069,95.1981,3.246
8000,48,24,3,16384,7106,206.1402,63.6247,3.240
8000,48,44,3,16384,7106,118.7344,36.4078,3.261
8000,48,108,3,16384,7106,47.3401,14.5485,3.254
16000,1,8,1,14218,14218,679.3039,138.6023,4.901
16000,1,16,1,14218,14218,343.0797,69.9085,4.908
16000,1,24,1,14218,14218,228.9583,46.8025,4.892
16000,1,44,1,14218,14218,125.5534,25.7253,4.881
16000,1,108,1,14218,14218,52.0487,10.7900,4.824
16000,4,8,1,9886,14218,792.9536,153.3686,5.170
16000,4,16,1,9886,14218,400.4500,77.2527,5.184
16000,4,24,1,9886,14218,267.2228,51.6869,5.170
16000,4,44,1,9886,14218,145.7816,28.3680,5.139
16000,4,108,1,9886,14218,60.3909,11.8949,5.077
16000,16,8,2,16384,14218,1185.0512,181.2399,6.539
16000,16,16,2,16384,14218,598.4343,91.1928,6.562
16000,16,24,2,16384,14218,398.9794,61.0118,6.539
16000,16,44,2,16384,14218,218.3565,33.4657,6.525
16000,16,108,2,16384,14218,91.1293,14.0757,6.474
16000,48,8,2,16384,14218,1278.3099,189.4464,6.748
16000,48,16,2,16384,14218,645.6515,95.2793,6.776
16000,48,24,2,16384,14218,430.3878,63.7508,6.751
16000,48,44,2,16384,14218,235.4997,34.9860,6.731
16000,48,108,2,15718,14218,104.9313,14.9836,7.003
32000,1,8,1,12058,28442,1422.0165,152.3395,9.335
32000,1,16,1,12058,28442,717.2613,76.7524,9.345
32000,1,24,1,12058,28442,479.0680,51.3109,9.337
32000,1,44,1,12058,28442,262.6289,28.1659,9.324
32000,1,108,1,12058,28442,108.6388,11.8034,9.204
32000,4,8,1,15464,28442,1983.8951,189.5771,10.465
32000,4,16,1,15464,28442,1000.9633,95.4417,10.488
32000,4,24,1,15464,28442,668.2749,63.8228,10.471
32000,4,44,1,15464,28442,365.0990,35.0145,10.427
32000,4,108,1,15464,28442,151.1831,15.0324,10.057
32000,16,8,1,16384,17304,1912.8253,187.6651,10.193
32000,16,16,1,16384,17304,965.1562,94.4016,10.224
32000,16,24,1,16384,17304,644.4186,63.1564,10.204
32000,16,44,1,16384,17304,351.8986,34.6563,10.154
32000,16,108,1,16384,17304,145.8122,14.4457,10.094
32000,48,16,2,16384,28442,966.1908,93.7517,10.306
32000,48,24,2,16384,28442,644.3483,62.5970,10.294
32000,48,44,2,16384,28442,351.7615,34.3546,10.239
32000,48,108,2,16384,28442,145.8645,14.3498,10.165
