L,B_req,SM,bs_obs,ntok_obs,n_fwd,per_attn_ms,per_mamba_ms,diffA_cost,diffB_sens,B_collapsed
256,1,8,1,258,256,0.5557,3.8946,0.143,1.421,
256,1,16,1,258,256,0.2883,1.9991,0.144,1.421,
256,1,24,1,258,256,0.2135,1.4213,0.150,1.421,
256,1,44,1,258,256,0.1308,0.8529,0.153,1.421,
256,1,108,1,258,256,0.0934,0.9300,0.100,1.421,
256,2,8,1,258,256,0.5555,3.8947,0.143,1.499,YES
256,2,16,1,258,256,0.2884,1.9997,0.144,1.499,YES
256,2,24,1,258,256,0.2136,1.4213,0.150,1.499,YES
256,2,44,1,258,256,0.1308,0.8508,0.154,1.499,YES
256,2,108,1,258,256,0.0839,0.8819,0.095,1.499,YES
256,4,8,3,774,128,1.1535,6.5942,0.175,1.213,YES
256,4,16,3,774,128,0.5942,3.3588,0.177,1.213,YES
256,4,24,3,774,128,0.4170,2.2987,0.181,1.213,YES
256,4,44,3,774,128,0.2471,1.3286,0.186,1.213,YES
256,4,108,3,774,128,0.1294,0.8972,0.144,1.213,YES
256,8,8,7,1806,64,2.4465,11.7383,0.208,1.061,YES
256,8,16,7,1806,64,1.2567,5.9817,0.210,1.061,YES
256,8,24,7,1806,64,0.8679,4.0720,0.213,1.061,YES
256,8,44,7,1806,64,0.5006,2.2870,0.219,1.061,YES
256,8,108,6,1548,64,0.2473,1.2593,0.196,1.061,YES
256,16,8,13,3354,32,4.9247,22.2334,0.222,1.145,YES
256,16,16,15,3870,32,2.5260,11.2824,0.224,1.145,YES
256,16,24,15,3870,32,1.7177,7.5803,0.227,1.145,YES
256,16,44,15,3870,32,0.9736,4.2599,0.229,1.145,YES
256,16,108,1,258,32,0.4085,2.1125,0.193,1.145,YES
512,1,8,1,514,256,1.4563,6.4804,0.225,1.220,
512,1,16,1,514,256,0.7471,3.3102,0.226,1.220,
512,1,24,1,514,256,0.5255,2.2786,0.231,1.220,
512,1,44,1,514,256,0.3161,1.3021,0.243,1.220,
512,1,108,1,514,256,0.1635,0.8874,0.184,1.220,
512,2,8,1,514,256,1.4563,6.4787,0.225,1.187,YES
512,2,16,1,514,256,0.7469,3.3096,0.226,1.187,YES
512,2,24,1,514,256,0.5255,2.2784,0.231,1.187,YES
512,2,44,1,514,256,0.3162,1.3026,0.243,1.187,YES
