model,policy,rep,job_id,in_len,out_len,rate,n_prompts,n_success,throughput_reqs_per_s,ttft_p50_ms,ttft_p99_ms,tpot_p50_ms,tpot_p99_ms,good_count,goodput_reqs_per_s,duration_s,label
Zyphra/Zamba2-2.7B,agnostic,1,834914,3600,32,1,120,120,1.157,479.6,4054.2,39.98,71.34,115,1.109,103.7,measured
Zyphra/Zamba2-2.7B,agnostic,1,834914,3600,32,2,120,120,2.315,1204.6,4004.5,42.08,44.56,107,2.065,51.8,measured
Zyphra/Zamba2-2.7B,agnostic,1,834914,3600,32,3,120,120,2.677,6998.4,11420.8,40.26,42.15,30,0.669,44.8,measured
Zyphra/Zamba2-2.7B,agnostic,1,834914,3600,32,4,120,120,2.689,10451.1,18873.4,40.26,43.83,14,0.314,44.6,measured
Zyphra/Zamba2-2.7B,agnostic,1,834914,3600,32,6,120,120,2.695,14682.4,26897.7,40.28,40.45,10,0.225,44.5,measured
Zyphra/Zamba2-2.7B,agnostic,2,834927,3600,32,1,120,120,1.195,474.2,1859.8,39.92,47.55,120,1.195,100.5,measured
Zyphra/Zamba2-2.7B,agnostic,2,834927,3600,32,2,120,120,2.318,1186.6,3926.3,41.93,44.49,107,2.066,51.8,measured
Zyphra/Zamba2-2.7B,agnostic,2,834927,3600,32,3,120,120,2.674,7076.0,11477.7,40.59,42.36,28,0.624,44.9,measured
Zyphra/Zamba2-2.7B,agnostic,2,834927,3600,32,4,120,120,2.690,10414.7,18837.3,40.48,42.99,14,0.314,44.6,measured
Zyphra/Zamba2-2.7B,agnostic,2,834927,3600,32,6,120,120,2.699,14647.0,26828.9,40.12,40.42,10,0.225,44.5,measured
Zyphra/Zamba2-2.7B,fused,1,834915,3600,32,1,120,120,1.199,296.3,1000.1,53.69,103.00,79,0.789,100.1,measured
Zyphra/Zamba2-2.7B,fused,1,834915,3600,32,2,120,120,2.349,503.3,2803.2,88.51,372.80,14,0.274,51.1,measured
Zyphra/Zamba2-2.7B,fused,1,834915,3600,32,3,120,120,3.157,2309.4,5474.8,302.87,467.23,0,0.000,38.0,measured
Zyphra/Zamba2-2.7B,fused,1,834915,3600,32,4,120,120,3.038,7492.2,16958.6,219.92,486.73,0,0.000,39.5,measured
Zyphra/Zamba2-2.7B,fused,1,834915,3600,32,6,120,120,2.925,12570.6,23337.9,218.76,510.57,0,0.000,41.0,measured
Zyphra/Zamba2-2.7B,fused,2,834929,3600,32,1,120,120,1.199,298.0,802.4,52.82,104.18,81,0.809,100.1,measured
Zyphra/Zamba2-2.7B,fused,2,834929,3600,32,2,120,120,2.348,404.8,1676.9,87.10,243.73,14,0.274,51.1,measured
Zyphra/Zamba2-2.7B,fused,2,834929,3600,32,3,120,120,3.147,2387.6,5568.7,303.53,466.99,0,0.000,38.1,measured
Zyphra/Zamba2-2.7B,fused,2,834929,3600,32,4,120,120,3.023,7584.5,17093.8,220.44,488.65,0,0.000,39.7,measured
Zyphra/Zamba2-2.7B,fused,2,834929,3600,32,6,120,120,2.918,12530.3,23447.6,218.78,508.61,0,0.000,41.1,measured
Zyphra/Zamba2-2.7B,layer_aware,1,834916,3600,32,1,120,120,1.193,480.4,2252.4,55.44,116.40,82,0.815,100.6,measured
Zyphra/Zamba2-2.7B,layer_aware,1,834916,3600,32,2,120,120,2.063,5296.4,9790.2,129.00,136.61,0,0.000,58.2,measured
Zyphra/Zamba2-2.7B,layer_aware,1,834916,3600,32,3,120,120,2.047,13832.2,24517.5,132.34,135.57,0,0.000,58.6,measured
Zyphra/Zamba2-2.7B,layer_aware,1,834916,3600,32,4,120,120,2.039,17276.5,33019.2,132.68,137.67,0,0.000,58.8,measured
Zyphra/Zamba2-2.7B,layer_aware,1,834916,3600,32,6,120,120,2.027,22179.2,41452.2,131.81,137.36,0,0.000,59.2,measured
Zyphra/Zamba2-2.7B,layer_aware,2,834928,3600,32,1,120,120,1.193,482.0,2210.2,54.68,115.36,81,0.805,100.6,measured
Zyphra/Zamba2-2.7B,layer_aware,2,834928,3600,32,2,120,120,2.058,5260.7,9539.0,131.12,136.81,0,0.000,58.3,measured
Zyphra/Zamba2-2.7B,layer_aware,2,834928,3600,32,3,120,120,2.044,13884.4,24666.4,131.04,136.75,0,0.000,58.7,measured
Zyphra/Zamba2-2.7B,layer_aware,2,834928,3600,32,4,120,120,2.046,17168.6,32810.1,132.59,135.85,0,0.000,58.7,measured
Zyphra/Zamba2-2.7B,layer_aware,2,834928,3600,32,6,120,120,2.044,21934.4,40971.3,131.68,136.14,0,0.000,58.7,measured
