model,label,map,rep,job_id,in_len,out_len,rate,n_prompts,n_success,throughput_reqs_per_s,ttft_p50_ms,ttft_p99_ms,tpot_p50_ms,tpot_p99_ms,good_count,goodput_reqs_per_s,duration_s,label_kind
Zyphra/Zamba2-2.7B,g_40_84,graduated mamba:40/attn:84,1,835209,3600,32,1,120,120,1.193,505.7,1986.1,54.09,109.89,80,0.795,100.6,measured
Zyphra/Zamba2-2.7B,g_40_84,graduated mamba:40/attn:84,1,835209,3600,32,2,120,120,2.157,3701.6,7626.8,119.23,125.26,0,0.000,55.6,measured
Zyphra/Zamba2-2.7B,g_40_84,graduated mamba:40/attn:84,1,835209,3600,32,3,120,120,2.189,12007.2,20730.7,120.46,122.72,0,0.000,54.8,measured
Zyphra/Zamba2-2.7B,g_40_84,graduated mamba:40/attn:84,1,835209,3600,32,4,120,120,2.187,15454.6,29034.4,120.72,124.98,0,0.000,54.9,measured
Zyphra/Zamba2-2.7B,g_40_84,graduated mamba:40/attn:84,1,835209,3600,32,6,120,120,2.190,19982.6,37045.0,120.57,122.77,0,0.000,54.8,measured
Zyphra/Zamba2-2.7B,g_54_16,graduated mamba:54/attn:16,1,835045,3600,32,1,120,120,1.191,533.3,2816.4,60.27,134.32,57,0.566,100.7,measured
Zyphra/Zamba2-2.7B,g_54_16,graduated mamba:54/attn:16,1,835045,3600,32,2,120,120,1.756,10254.5,18022.0,154.94,160.99,0,0.000,68.3,measured
Zyphra/Zamba2-2.7B,g_54_16,graduated mamba:54/attn:16,1,835045,3600,32,3,120,120,1.747,18199.6,34561.4,155.85,162.18,0,0.000,68.7,measured
Zyphra/Zamba2-2.7B,g_54_16,graduated mamba:54/attn:16,1,835045,3600,32,4,120,120,1.744,21735.8,42442.9,155.75,161.35,0,0.000,68.8,measured
Zyphra/Zamba2-2.7B,g_54_16,graduated mamba:54/attn:16,1,835045,3600,32,6,120,120,1.743,25642.0,50682.0,154.80,159.94,0,0.000,68.9,measured
Zyphra/Zamba2-2.7B,g_54_54,graduated mamba:54/attn:54,1,835044,3600,32,1,120,120,1.192,485.2,2130.7,56.07,115.04,77,0.765,100.6,measured
Zyphra/Zamba2-2.7B,g_54_54,graduated mamba:54/attn:54,1,835044,3600,32,2,120,120,2.125,4514.3,7769.9,121.81,125.00,0,0.000,56.5,measured
Zyphra/Zamba2-2.7B,g_54_54,graduated mamba:54/attn:54,1,835044,3600,32,3,120,120,2.146,12605.9,21864.6,122.98,125.32,0,0.000,55.9,measured
Zyphra/Zamba2-2.7B,g_54_54,graduated mamba:54/attn:54,1,835044,3600,32,4,120,120,2.145,15989.6,30110.7,123.20,127.60,0,0.000,55.9,measured
Zyphra/Zamba2-2.7B,g_54_54,graduated mamba:54/attn:54,1,835044,3600,32,6,120,120,2.147,20559.6,38183.5,122.99,125.11,0,0.000,55.9,measured
Zyphra/Zamba2-2.7B,g_54_84,graduated mamba:54/attn:84,1,835208,3600,32,1,120,120,1.193,479.0,2001.5,51.78,108.43,86,0.855,100.6,measured
Zyphra/Zamba2-2.7B,g_54_84,graduated mamba:54/attn:84,1,835208,3600,32,2,120,120,2.171,3562.4,7469.6,118.82,124.53,0,0.000,55.3,measured
Zyphra/Zamba2-2.7B,g_54_84,graduated mamba:54/attn:84,1,835208,3600,32,3,120,120,2.193,12012.0,20644.3,120.27,123.11,0,0.000,54.7,measured
Zyphra/Zamba2-2.7B,g_54_84,graduated mamba:54/attn:84,1,835208,3600,32,4,120,120,2.190,15391.9,28920.8,120.49,124.81,0,0.000,54.8,measured
Zyphra/Zamba2-2.7B,g_54_84,graduated mamba:54/attn:84,1,835208,3600,32,6,120,120,2.199,19133.4,36892.5,120.19,124.43,0,0.000,54.6,measured
Zyphra/Zamba2-2.7B,g_72_16,graduated mamba:72/attn:16,1,835070,3600,32,1,120,120,1.191,503.9,2849.2,59.75,137.75,62,0.615,100.8,measured
Zyphra/Zamba2-2.7B,g_72_16,graduated mamba:72/attn:16,1,835070,3600,32,2,120,120,1.748,10124.7,18551.8,154.47,159.30,0,0.000,68.7,measured
Zyphra/Zamba2-2.7B,g_72_16,graduated mamba:72/attn:16,1,835070,3600,32,3,120,120,1.741,18868.5,34368.4,155.69,161.62,0,0.000,68.9,measured
Zyphra/Zamba2-2.7B,g_72_16,graduated mamba:72/attn:16,1,835070,3600,32,4,120,120,1.740,21766.9,42578.9,155.86,161.70,0,0.000,68.9,measured
Zyphra/Zamba2-2.7B,g_72_16,graduated mamba:72/attn:16,1,835070,3600,32,6,120,120,1.736,26758.8,50749.8,155.19,160.32,0,0.000,69.1,measured
Zyphra/Zamba2-2.7B,g_72_72,graduated mamba:72/attn:72,1,835112,3600,32,1,120,120,1.192,510.8,2133.6,56.11,114.99,77,0.765,100.7,measured
Zyphra/Zamba2-2.7B,g_72_72,graduated mamba:72/attn:72,1,835112,3600,32,2,120,120,2.121,4622.1,8634.6,121.30,127.07,0,0.000,56.6,measured
Zyphra/Zamba2-2.7B,g_72_72,graduated mamba:72/attn:72,1,835112,3600,32,3,120,120,2.154,12491.6,21611.3,122.17,125.18,0,0.000,55.7,measured
Zyphra/Zamba2-2.7B,g_72_72,graduated mamba:72/attn:72,1,835112,3600,32,4,120,120,2.156,15844.8,29804.0,122.26,126.85,0,0.000,55.7,measured
Zyphra/Zamba2-2.7B,g_72_72,graduated mamba:72/attn:72,1,835112,3600,32,6,120,120,2.157,20431.7,37884.6,122.15,124.38,0,0.000,55.6,measured
Zyphra/Zamba2-2.7B,g_84_84,graduated mamba:84/attn:84,1,835113,3600,32,1,120,120,1.194,474.2,1638.2,42.92,46.35,120,1.194,100.5,measured
Zyphra/Zamba2-2.7B,g_84_84,graduated mamba:84/attn:84,1,835113,3600,32,2,120,120,2.308,1211.5,4252.0,44.99,47.56,102,1.962,52.0,measured
Zyphra/Zamba2-2.7B,g_84_84,graduated mamba:84/attn:84,1,835113,3600,32,3,120,120,2.614,7561.9,12265.9,45.42,51.08,23,0.501,45.9,measured
Zyphra/Zamba2-2.7B,g_84_84,graduated mamba:84/attn:84,1,835113,3600,32,4,120,120,2.627,10862.0,19849.6,45.40,45.79,13,0.285,45.7,measured
Zyphra/Zamba2-2.7B,g_84_84,graduated mamba:84/attn:84,1,835113,3600,32,6,120,120,2.631,15169.0,27886.8,45.44,45.85,10,0.219,45.6,measured
Zyphra/Zamba2-2.7B,g_96_96,graduated mamba:96/attn:96,1,835069,3600,32,1,120,120,1.193,475.6,1698.7,42.61,46.78,119,1.183,100.6,measured
Zyphra/Zamba2-2.7B,g_96_96,graduated mamba:96/attn:96,1,835069,3600,32,2,120,120,2.311,1205.7,4161.8,44.46,48.02,106,2.041,51.9,measured
Zyphra/Zamba2-2.7B,g_96_96,graduated mamba:96/attn:96,1,835069,3600,32,3,120,120,2.605,7412.0,12079.4,43.15,54.41,24,0.521,46.1,measured
Zyphra/Zamba2-2.7B,g_96_96,graduated mamba:96/attn:96,1,835069,3600,32,4,120,120,2.637,10807.0,19663.1,43.21,45.55,13,0.286,45.5,measured
Zyphra/Zamba2-2.7B,g_96_96,graduated mamba:96/attn:96,1,835069,3600,32,6,120,120,2.641,15077.5,27715.7,43.15,43.44,10,0.220,45.4,measured
