model,label,map,rep,job_id,in_len,out_len,rate,n_prompts,n_success,throughput_reqs_per_s,ttft_p50_ms,ttft_p99_ms,tpot_p50_ms,tpot_p99_ms,good_count,goodput_reqs_per_s,duration_s,label_kind
Zyphra/Zamba2-2.7B,16,coordinated prefill:92/decode:16,1,835300,3600,32,1,120,120,1.187,413.6,5590.7,40.44,65.30,110,1.088,101.1,measured
Zyphra/Zamba2-2.7B,16,coordinated prefill:92/decode:16,2,835332,3600,32,1,120,120,1.197,400.3,1149.9,39.99,50.37,120,1.197,100.3,measured
Zyphra/Zamba2-2.7B,16,coordinated prefill:92/decode:16,1,835300,3600,32,2,120,120,2.341,682.0,2334.7,45.70,64.83,96,1.873,51.3,measured
Zyphra/Zamba2-2.7B,16,coordinated prefill:92/decode:16,2,835332,3600,32,2,120,120,2.340,698.4,2332.7,45.65,64.67,96,1.872,51.3,measured
Zyphra/Zamba2-2.7B,16,coordinated prefill:92/decode:16,1,835300,3600,32,3,120,120,3.080,3464.5,5934.1,59.99,65.24,40,1.027,39.0,measured
Zyphra/Zamba2-2.7B,16,coordinated prefill:92/decode:16,2,835332,3600,32,3,120,120,3.069,3576.5,6044.3,59.59,63.09,52,1.330,39.1,measured
Zyphra/Zamba2-2.7B,16,coordinated prefill:92/decode:16,1,835300,3600,32,4,120,120,3.077,7850.3,13183.3,61.61,63.34,16,0.410,39.0,measured
Zyphra/Zamba2-2.7B,16,coordinated prefill:92/decode:16,2,835332,3600,32,4,120,120,3.071,7870.3,13234.5,61.69,63.09,17,0.435,39.1,measured
Zyphra/Zamba2-2.7B,16,coordinated prefill:92/decode:16,1,835300,3600,32,6,120,120,3.092,11723.3,21194.0,61.46,62.90,14,0.361,38.8,measured
Zyphra/Zamba2-2.7B,16,coordinated prefill:92/decode:16,2,835332,3600,32,6,120,120,3.088,11742.1,21225.1,61.46,62.94,14,0.360,38.9,measured
Zyphra/Zamba2-2.7B,24,coordinated prefill:84/decode:24,1,835335,3600,32,1,120,120,1.196,427.6,1370.4,40.11,44.11,120,1.196,100.3,measured
Zyphra/Zamba2-2.7B,24,coordinated prefill:84/decode:24,1,835335,3600,32,2,120,120,2.336,872.2,3285.9,42.74,58.14,115,2.239,51.4,measured
Zyphra/Zamba2-2.7B,24,coordinated prefill:84/decode:24,1,835335,3600,32,3,120,120,2.947,4578.6,7543.8,41.43,44.72,48,1.179,40.7,measured
Zyphra/Zamba2-2.7B,24,coordinated prefill:84/decode:24,1,835335,3600,32,4,120,120,2.985,8384.1,14746.2,41.36,42.67,19,0.473,40.2,measured
Zyphra/Zamba2-2.7B,24,coordinated prefill:84/decode:24,1,835335,3600,32,6,120,120,2.969,12501.8,22771.8,41.61,41.93,12,0.297,40.4,measured
Zyphra/Zamba2-2.7B,34,coordinated prefill:74/decode:34,1,835301,3600,32,1,120,120,1.143,477.6,1717.5,39.77,43.81,118,1.124,104.9,measured
Zyphra/Zamba2-2.7B,34,coordinated prefill:74/decode:34,1,835301,3600,32,2,120,120,2.319,1174.8,3985.7,41.79,44.71,108,2.087,51.7,measured
Zyphra/Zamba2-2.7B,34,coordinated prefill:74/decode:34,1,835301,3600,32,3,120,120,2.678,7006.8,11414.0,40.13,41.83,30,0.669,44.8,measured
Zyphra/Zamba2-2.7B,34,coordinated prefill:74/decode:34,1,835301,3600,32,4,120,120,2.686,10455.6,18911.9,40.15,43.28,14,0.313,44.7,measured
