model,label,map,rep,job_id,in_len,out_len,rate,n_prompts,n_success,throughput_reqs_per_s,ttft_p50_ms,ttft_p99_ms,tpot_p50_ms,tpot_p99_ms,good_count,goodput_reqs_per_s,duration_s,label_kind
Zyphra/Zamba2-2.7B,m16a74_in3600o32,coord_m16a74,1,835918,3600,32,1,120,120,1.193,505.5,2041.2,57.20,124.87,79,0.785,100.6,measured
Zyphra/Zamba2-2.7B,m16a74_in3600o32,coord_m16a74,1,835918,3600,32,2,120,120,2.169,3960.1,7325.0,123.72,129.09,0,0.000,55.3,measured
Zyphra/Zamba2-2.7B,m16a74_in3600o32,coord_m16a74,1,835918,3600,32,3,120,120,2.210,11807.1,20300.0,123.42,125.39,0,0.000,54.3,measured
Zyphra/Zamba2-2.7B,m16a74_in3600o32,coord_m16a74,1,835918,3600,32,4,120,120,2.213,15548.8,28771.8,123.47,125.32,0,0.000,54.2,measured
Zyphra/Zamba2-2.7B,m16a74_in3600o32,coord_m16a74,1,835918,3600,32,6,120,120,2.212,19730.5,36577.1,123.44,125.34,0,0.000,54.2,measured
Zyphra/Zamba2-2.7B,m16a74_in2000o96,coord_m16a74,1,835919,2000,96,1,120,120,1.171,281.4,948.9,46.73,60.73,118,1.152,102.5,measured
Zyphra/Zamba2-2.7B,m16a74_in2000o96,coord_m16a74,1,835919,2000,96,2,120,120,2.242,416.0,1549.6,61.74,97.60,43,0.803,53.5,measured
Zyphra/Zamba2-2.7B,m16a74_in2000o96,coord_m16a74,1,835919,2000,96,3,120,120,3.045,2225.5,4414.0,116.82,140.19,3,0.076,39.4,measured
Zyphra/Zamba2-2.7B,m16a74_in2000o96,coord_m16a74,1,835919,2000,96,4,120,120,3.160,5001.4,9589.1,134.29,140.60,0,0.000,38.0,measured
Zyphra/Zamba2-2.7B,m16a74_in2000o96,coord_m16a74,1,835919,2000,96,6,120,120,3.156,9249.7,18684.9,124.97,127.46,0,0.000,38.0,measured
