policy,scenario,request_rates,requests,good_requests,duration_s,throughput_req_s,goodput_req_s,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,itl_p50_ms,itl_p95_ms,itl_p99_ms,trace_samples,queue_depth_max,queue_age_max_ms,decode_batch_max,trace_tpot_p50_ms,trace_tpot_p95_ms,blocked_reasons,sm_pairs
legacy,decode_heavy,8.0,48,2,15.238,3.150091,0.131254,3645.396,6023.465,6384.779,71.061,91.313,91.316,0,0.000,0.000,0.000,nan,nan,{},{}
dual,decode_heavy,8.0,48,2,13.854,3.464730,0.144364,3348.485,5324.957,5433.870,64.240,77.308,77.309,11713,17.000,3306.258,41.000,36.448,36.823,"{"""": 11712, ""scheduler_admission_pending"": 1}","{""0/108"": 14, ""108/0"": 11690, ""84/24"": 9}"
legacy,prefill_burst,2.0,48,48,22.324,2.150164,2.150164,971.942,2457.618,2509.269,42.233,51.692,51.705,0,0.000,0.000,0.000,nan,nan,{},{}
dual,prefill_burst,2.0,48,48,22.325,2.150047,2.150047,931.506,2389.489,2508.534,42.032,50.562,50.865,11699,4.000,879.191,7.000,36.359,36.491,"{"""": 11696, ""scheduler_admission_pending"": 3}","{""0/108"": 18, ""108/0"": 11655, ""84/24"": 26}"
legacy,alternating_prefill,2.0,48,48,22.508,2.132611,2.132611,1025.370,2614.148,2942.827,41.350,53.855,54.865,0,0.000,0.000,0.000,nan,nan,{},{}
legacy,alternating_decode,8.0,48,3,13.151,3.649811,0.228113,3093.582,4521.753,4636.397,60.200,76.537,76.539,0,0.000,0.000,0.000,nan,nan,{},{}
legacy,alternating,2.0;8.0,96,51,35.659,2.692169,1.430215,1935.397,4448.067,4595.525,44.256,76.528,76.539,0,0.000,0.000,0.000,nan,nan,{},{}
dual,alternating_prefill,2.0,48,48,22.314,2.151137,2.151137,972.123,2345.636,2528.973,42.831,50.735,51.746,14324,14.000,3796.165,39.000,36.586,37.219,"{"""": 14318, ""scheduler_admission_pending"": 6}","{""0/108"": 24, ""108/0"": 14270, ""84/24"": 30}"
dual,alternating_decode,8.0,48,6,13.435,3.572735,0.446592,3107.644,4585.155,4712.587,59.393,79.223,79.227,14324,14.000,3796.165,39.000,36.586,37.219,"{"""": 14318, ""scheduler_admission_pending"": 6}","{""0/108"": 24, ""108/0"": 14270, ""84/24"": 30}"
dual,alternating,2.0;8.0,96,54,35.749,2.685399,1.510537,1593.606,4464.680,4692.568,45.780,79.221,79.226,14324,14.000,3796.165,39.000,36.586,37.219,"{"""": 14318, ""scheduler_admission_pending"": 6}","{""0/108"": 24, ""108/0"": 14270, ""84/24"": 30}"
legacy,low_decode_sm,8.0,48,0,16.064,2.988063,0.000000,4046.149,7372.670,7468.352,83.686,105.033,105.037,0,0.000,0.000,0.000,nan,nan,{},{}
dual,low_decode_sm,8.0,48,0,15.977,3.004238,0.000000,3991.287,7258.871,7562.726,88.625,109.401,109.404,10444,18.000,4004.505,43.000,37.173,38.049,"{"""": 10440, ""scheduler_admission_pending"": 4}","{""0/108"": 16, ""108/0"": 10421, ""92/16"": 7}"
legacy,overload,12.0,48,2,23.383,2.052796,0.085533,8084.157,15536.857,15712.567,95.781,118.767,118.770,0,0.000,0.000,0.000,nan,nan,{},{}
dual,overload,12.0,48,2,23.245,2.064987,0.086041,8067.736,15526.488,15703.392,94.074,117.044,117.054,9560,36.000,14268.267,26.000,36.870,37.389,"{"""": 9560}","{""0/108"": 14, ""108/0"": 9532, ""84/24"": 14}"
