idx	arm	arm_ids	boots	jobid	submitted_utc
0	M8	0	3	888123	2026-08-20T08:07:22Z
1	Ha8	1	6	888215	2026-08-20T08:52:23Z
2	M8	0	3	888216	2026-08-20T08:52:23Z
3	Ha8	1	6	888217	2026-08-20T08:52:23Z
4	M8	0	3	888218	2026-08-20T08:52:23Z
5	Ha8	1	6	888345	2026-08-20T11:17:30Z
6	M8	0	3	888354	2026-08-20T11:32:31Z
7	Ha8	1	6	888382	2026-08-20T11:47:31Z
8	M8	0	3	888383	2026-08-20T11:47:31Z
9	Ha8	1	6	888412	2026-08-20T12:02:31Z
10	M8	0	3	888427	2026-08-20T12:17:32Z
11	Ha8	1	6	888444	2026-08-20T12:32:32Z
12	M8	0	3	888445	2026-08-20T12:32:32Z
13	Ha8	1	6	888463	2026-08-20T13:27:33Z
14	M8	0	3	888474	2026-08-20T13:42:33Z
15	Ha8	1	6	888477	2026-08-20T13:57:33Z
16	M8	0	3	888478	2026-08-20T13:57:33Z
17	Ha8	1	6	888484	2026-08-20T14:12:33Z
18	M8	0	3	888496	2026-08-20T14:27:34Z
19	Ha8	1	6	888504	2026-08-20T14:42:34Z
20	M8	0	3	888505	2026-08-20T14:42:34Z
21	Ha8	1	6	888510	2026-08-20T14:57:34Z
22	M8	0	3	888512	2026-08-20T15:12:34Z
23	Ha8	1	6	888513	2026-08-20T15:22:35Z
24	M8	0	3	888514	2026-08-20T15:27:35Z
25	Ha8	1	6	888520	2026-08-20T15:42:35Z
26	M8	0	3	888521	2026-08-20T15:52:35Z
27	Ha8	1	6	888525	2026-08-20T16:07:35Z
28	M8	0	3	888526	2026-08-20T16:07:35Z
29	Ha8	1	6	888528	2026-08-20T16:22:36Z
30	M8	0	3	888540	2026-08-20T16:37:36Z
31	Ha8	1	6	888559	2026-08-20T16:52:36Z
