== HI
arm     pT%    pI%    lo%    hi%  width  indep%    obs% obs-indep pos_in_window  power
d16   53.71  16.75   0.00  16.75  16.75    9.00    7.58    -1.413         0.453    YES
d24   67.00  41.67   8.67  41.67  33.00   27.92   22.25    -5.667         0.412    YES
d34   68.46  98.83  67.29  68.46   1.17   67.66   67.46    -0.201         0.143     no
d44   70.46  97.88  68.33  70.46   2.12   68.96   68.58    -0.378         0.118     no
d54   70.92  91.54  62.46  70.92   8.46   64.92   64.25    -0.668         0.212    YES
d64   71.08  95.71  66.79  71.08   4.29   68.03   67.29    -0.741         0.117     no
d74   66.62  84.12  50.75  66.62  15.87   56.05   56.67     0.618         0.373    YES
== LO
arm     pT%    pI%    lo%    hi%  width  indep%    obs% obs-indep pos_in_window  power
d16  100.00  99.33  99.33  99.33   0.00   99.33   99.33     0.000         1.000     no
d24  100.00  99.67  99.67  99.67   0.00   99.67   99.67     0.000         1.000     no
d34  100.00  99.67  99.67  99.67   0.00   99.67   99.67     0.000         1.000     no
d44  100.00  99.71  99.71  99.71   0.00   99.71   99.71     0.000           nan     no
d54  100.00  99.42  99.42  99.42  -0.00   99.42   99.42     0.000           nan     no
d64  100.00  99.71  99.71  99.71   0.00   99.71   99.71     0.000           nan     no
d74  100.00  98.58  98.58  98.58   0.00   98.58   98.58     0.000           nan     no
